date,South Carolina-apple-driving,South Carolina-apple-walking,South Carolina-google-retail_and_recreation,South Carolina-google-grocery_and_pharmacy,South Carolina-google-parks,South Carolina-google-transit_stations,South Carolina-google-workplaces,South Carolina-google-residential,South Carolina-jh_beta_7,South Carolina-jh_gamma_7,South Carolina-cdc_beta_7,South Carolina-cdc_gamma_7,South Carolina-jh_beta_14,South Carolina-jh_gamma_14,South Carolina-cdc_beta_14,South Carolina-cdc_gamma_14,South Carolina-jh_beta_30,South Carolina-jh_gamma_30,South Carolina-cdc_beta_30,South Carolina-cdc_gamma_30,South Carolina-census_pop,South Carolina-jh_confirmed,South Carolina-jh_death,South Carolina-cdc_confirmed,South Carolina-cdc_death,South Carolina-jh_confirmed_ratio,South Carolina-jh_death_ratio,South Carolina-cdc_confirmed_ratio,South Carolina-cdc_death_ratio
04-13-2021,155.29,162.17,6.0,7.0,42.0,7.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000004206964,1.8656186736737254e-05,0.0250000004300717,1.8836040394976976e-05,0.0250000011377915,2.1084041045334744e-05,0.0250000011827532,2.1523205365787165e-05,5148714,564128,9289,565176,9227,0.1095667772573889,0.0018041398298681,0.1097703232302279,0.0017920979879635
04-14-2021,157.71,166.4,5.0,4.0,27.0,5.0,-22.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000004647332,1.9691719864931037e-05,0.0250000004758355,1.991187984084273e-05,0.025000001174001,2.152530734166985e-05,0.0250000012197344,2.197743312535442e-05,5148714,564931,9304,565998,9241,0.1097227385323791,0.001807053178716,0.1099299747470922,0.0017948171135549
04-15-2021,168.98,182.93,4.0,4.0,32.0,9.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000003985036,1.817482414491265e-05,0.0250000004176392,1.8589067684525693e-05,0.0250000012259555,2.2115203097546763e-05,0.0250000012730543,2.2586607152191865e-05,5148714,566018,9307,567132,9243,0.1099338592122227,0.0018076358484856,0.1101502239199924,0.001795205560068
04-16-2021,197.77,241.26,2.0,2.0,34.0,9.0,-21.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000002628764,1.516607923700262e-05,0.0250000003101341,1.6234874575556433e-05,0.0250000012720891,2.2655014325578368e-05,0.0250000013193111,2.3135559294472675e-05,5148714,567277,9309,568400,9245,0.1101783862921887,0.0018080242949987,0.1103964990092671,0.001795594006581
04-17-2021,196.73,269.62,4.0,5.0,77.0,12.0,-9.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000002827345,1.5742852838135974e-05,0.0250000002925323,1.597824915591983e-05,0.025000000987413,1.976509039120163e-05,0.0250000010439222,2.034523309191219e-05,5148714,568258,9321,569384,9257,0.1103689193068405,0.001810354974077,0.1105876146936885,0.0017979246856593
04-18-2021,148.12,169.44,10.0,9.0,58.0,29.0,-13.0,1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000010126309,2.00883315333405e-05,0.0250000010559747,2.053823679531531e-05,5148714,569279,9336,570398,9271,0.1105672212517533,0.0018132683229249,0.1107845570758057,0.0018006438112507
04-19-2021,152.15,159.93,4.0,6.0,45.0,8.0,-18.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000002915896,1.60470719814442e-05,0.025,1e-05,0.0250000008910319,1.8862856575586608e-05,0.0250000009353717,1.93287338599704e-05,5148714,570032,9352,571168,9288,0.1107134713639172,0.0018163758950293,0.1109341089833306,0.0018039456066116
04-20-2021,153.63,164.01,5.0,7.0,40.0,5.0,-20.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000003189261,1.663035359563457e-05,0.0250000003097536,1.6458488519688004e-05,0.0250000008833913,1.880767195064892e-05,0.0250000009291677,1.9291613258192453e-05,5148714,570606,9355,571732,9290,0.1108249555131631,0.0018169585647988,0.1110436509000111,0.0018043340531247
04-21-2021,155.96,166.05,4.0,5.0,28.0,5.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000003776651,1.8004226300850125e-05,0.0250000003747609,1.7982750594839777e-05,0.0250000007486359,1.743573144675205e-05,0.0250000007950645,1.7930975745784934e-05,5148714,571369,9365,572482,9301,0.1109731478578922,0.0018189007973641,0.1111893183424055,0.0018064705089465
04-22-2021,169.16,180.68,3.0,4.0,29.0,10.0,-20.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000003802071,1.8082274562511047e-05,0.0250000003776036,1.8064169870702623e-05,0.0250000006810681,1.6756104729078437e-05,0.0250000007279471,1.7258831068044748e-05,5148714,572248,9388,573343,9324,0.1111438701003784,0.0018233679322642,0.1113565445662742,0.0018109376438465
