date,Kansas-apple-driving,Kansas-apple-walking,Kansas-google-retail_and_recreation,Kansas-google-grocery_and_pharmacy,Kansas-google-parks,Kansas-google-transit_stations,Kansas-google-workplaces,Kansas-google-residential,Kansas-jh_beta_7,Kansas-jh_gamma_7,Kansas-cdc_beta_7,Kansas-cdc_gamma_7,Kansas-jh_beta_14,Kansas-jh_gamma_14,Kansas-cdc_beta_14,Kansas-cdc_gamma_14,Kansas-jh_beta_30,Kansas-jh_gamma_30,Kansas-cdc_beta_30,Kansas-cdc_gamma_30,Kansas-census_pop,Kansas-jh_confirmed,Kansas-jh_death,Kansas-cdc_confirmed,Kansas-cdc_death,Kansas-jh_confirmed_ratio,Kansas-jh_death_ratio,Kansas-cdc_confirmed_ratio,Kansas-cdc_death_ratio
02-05-2021,136.23,181.44,-10.0,-5.0,17.0,-10.0,-18.0,5.0,0.0250000006608933,3.573109520143371e-05,0.0250000006832986,3.635572695298379e-05,0.0249999944652628,7.262745180509657e-05,0.0249999950783779,7.258410705893998e-05,0.0250000104570089,0.0001064605185218,0.025000011997949,0.0001216003563823,2913314,283926,4112,281562,4101,0.0974580838179475,0.0014114510142058,0.0966466367854615,0.0014076752454421
02-06-2021,115.53,157.98,-30.0,-8.0,-40.0,-20.0,-9.0,8.0,0.0250000008124533,3.773474332617735e-05,0.0250000008504433,3.897624245242519e-05,0.0249999924866748,8.092905584243747e-05,0.0249999932738633,8.10814989063741e-05,0.0250000102893358,0.0001046230423705,0.0250000103315465,0.0001048073685088,2913314,283926,4112,281562,4101,0.0974580838179475,0.0014114510142058,0.0966466367854615,0.0014076752454421
02-07-2021,79.39,110.4,-36.0,-17.0,-56.0,-19.0,-12.0,6.0,0.0250000011555946,5.144962095951756e-05,0.0250000012021233,5.309151489932336e-05,0.0249999877660926,9.569716732286532e-05,0.0249999887018197,9.641748107461958e-05,0.0250000108526604,0.0001097931607315,0.0250000109364192,0.0001103204114676,2913314,283926,4113,281562,4101,0.0974580838179475,0.0014117942659116,0.0966466367854615,0.0014076752454421
02-08-2021,86.98,109.73,-39.0,-27.0,-46.0,-20.0,-33.0,14.0,0.0250000013734784,6.193775759344432e-05,0.0250000448531003,0.0001635584956698,0.0249999821148495,0.0001087909459091,0.0249999831300951,0.000109988261548,0.0250000092755101,9.422352602864932e-05,0.0250000093543864,9.471843800009886e-05,2913314,285338,4205,282960,4197,0.0979427552265221,0.0014433734228442,0.097126502670155,0.0014406274091979
02-09-2021,95.03,120.53,-27.0,-16.0,-31.0,-20.0,-29.0,12.0,0.0250000477895169,0.0001717388932986,0.0250000541826757,0.0001822982157796,0.0249999788537743,0.0001137065257609,0.0249999788060752,0.0001171338895447,0.0250000098830045,9.975380208774284e-05,0.0250000099842669,0.0001004116382125,2913314,285341,4205,282960,4197,0.0979437849816394,0.0014433734228442,0.097126502670155,0.0014406274091979
02-10-2021,98.75,124.79,-23.0,-8.0,-30.0,-17.0,-26.0,10.0,0.0250000615493151,0.0002009554366632,0.025000069628816,0.0002127909419776,0.0249999711240849,0.0001270115753075,0.0249999706861337,0.0001313928211531,0.0250000104176545,0.0001047564188324,0.0250000105542687,0.0001057182145452,2913314,287213,4308,284894,4303,0.0985863521748771,0.0014787283485405,0.0977903514691516,0.0014770120900115
02-11-2021,106.33,131.3,-22.0,-8.0,-32.0,-17.0,-28.0,11.0,0.0250000539504912,0.0001874501826677,0.0250000577479455,0.0001927087963964,0.0249999792347363,0.0001110805054014,0.0249999787467767,0.000115128679615,0.0250000092300214,9.268017690784495e-05,0.0250000093819604,9.377721799418852e-05,2913314,287276,4308,284894,4303,0.0986079770323418,0.0014787283485405,0.0977903514691516,0.0014770120900115
02-12-2021,123.91,159.58,-18.0,-8.0,-30.0,-17.0,-25.0,10.0,0.0250000686566505,0.0002154483613643,0.0250000737283381,0.0002217860607749,0.0249999706333983,0.0001251915982531,0.0249999696181917,0.0001302133618504,0.0250000097897806,9.788854236804586e-05,0.0250000099827635,9.934017717258924e-05,2913314,288475,4367,286102,4364,0.0990195358275833,0.001498980199182,0.0982049995297451,0.0014979504440647
02-13-2021,116.5,163.8,-27.0,-5.0,-44.0,-23.0,-11.0,8.0,0.0250000009968486,4.726801012398961e-05,0.0250000010240437,4.824110542240503e-05,0.0249999728106127,0.0001195286495462,0.0249999713600225,0.0001249704515773,0.0250000087494225,8.733839908710011e-05,0.0250000089499746,8.887559093243031e-05,2913314,288475,4367,286102,4364,0.0990195358275833,0.001498980199182,0.0982049995297451,0.0014979504440647
02-14-2021,66.19,93.35,-41.0,-31.0,-65.0,-37.0,-23.0,11.0,0.025000001163301,5.5624007695842486e-05,0.0250000011946696,5.679804837585911e-05,0.024999963004922,0.0001328272538606,0.0249999610190355,0.0001388323904733,0.0250000092627204,9.227283981332064e-05,0.0250000095124307,9.423504131577482e-05,2913314,288475,4367,286102,4364,0.0990195358275833,0.001498980199182,0.0982049995297451,0.0014979504440647
02-15-2021,66.05,87.53,-46.0,-33.0,-57.0,-39.0,-52.0,21.0,0.0250000012568884,6.14382106097489e-05,0.0250000336194461,0.0001526964381834,0.0249999533546456,0.0001436317927704,0.0249999502580452,0.0001507728743258,0.0250000075990366,7.576272546044197e-05,0.0250000077516623,7.677324205211757e-05,2913314,289828,4408,287450,4406,0.0994839553855162,0.0015130535191194,0.0986677028291492,0.0015123670157078
02-16-2021,82.68,104.87,-30.0,-20.0,-39.0,-35.0,-46.0,19.0,0.0250000008737696,4.521583009350529e-05,0.0250000008973774,4.6125955577859445e-05,0.024999949628114,0.0001443209797248,0.0249999459692444,0.0001518158163078,0.0250000080876351,8.063115796403788e-05,0.0250000082595921,8.181076882623194e-05,2913314,289843,4408,287450,4406,0.0994891041611031,0.0015130535191194,0.0986677028291492,0.0015123670157078
02-17-2021,91.9,113.91,-23.0,-12.0,-29.0,-23.0,-34.0,13.0,0.0250000009591331,4.984337132157946e-05,0.025000000984395,5.084530263940517e-05,0.0249999394847138,0.0001538727094898,0.0249999353165902,0.0001618198443982,0.0250000085121721,8.504281344223766e-05,0.0250000087155549,8.652417382604541e-05,2913314,291093,4520,288717,4521,0.0999181687933398,0.0015514977101678,0.0991026027403843,0.0015518409618736
02-18-2021,106.71,131.46,-20.0,-11.0,-23.0,-17.0,-27.0,11.0,0.0250000006527332,3.4291364828270825e-05,0.025000000670875,3.4960520448760325e-05,0.0249999486492553,0.0001414187673781,0.0249999473873417,0.000145941620209,0.0250000086144021,8.6199506382952e-05,0.0250000088089807,8.760463105573765e-05,2913314,291124,4520,288717,4521,0.0999288095962192,0.0015514977101678,0.0991026027403843,0.0015518409618736
02-19-2021,130.82,168.2,-13.0,-12.0,-11.0,-11.0,-19.0,6.0,0.0250000008476631,4.233800816756275e-05,0.0250000008694272,4.315025122916601e-05,0.0249999382660793,0.0001522871183575,0.0249999366975678,0.0001572317888045,0.0250000090977284,9.110979134893436e-05,0.0250000093187969,9.275019292949048e-05,2913314,293215,4611,290832,4614,0.1006465489130248,0.0015827336153947,0.0998285800981288,0.001583763370512
02-20-2021,135.11,184.53,-15.0,-5.0,1.0,-3.0,-3.0,4.0,0.0250000008262275,3.957451945541828e-05,0.0250000008443326,4.020412836659005e-05,0.0249999784806896,9.92475129921243e-05,0.0249999775530564,0.000103045682801,0.0250000087778887,8.798795825149669e-05,0.0250000090602433,9.026243744850769e-05,2913314,293215,4611,290832,4614,0.1006465489130248,0.0015827336153947,0.0998285800981288,0.001583763370512
02-21-2021,93.8,112.67,-11.0,-9.0,-33.0,-4.0,-5.0,5.0,0.0250000010404095,4.923447433591937e-05,0.02500000106201,5.0016389298866666e-05,0.0249999712846464,0.0001105792756207,0.0249999700720487,0.0001147727557418,0.0250000092744192,9.30444699175994e-05,0.0250000095836381,9.556354291167992e-05,2913314,293215,4611,290832,4614,0.1006465489130248,0.0015827336153947,0.0998285800981288,0.001583763370512
02-22-2021,111.05,146.59,-14.0,-8.0,23.0,-5.0,-21.0,6.0,0.0250000011749765,5.6630728575241e-05,0.0250000011987382,5.7528265132939714e-05,0.0249999641607225,0.0001200089342432,0.0249999624076131,0.0001248586177056,0.0250000092897607,9.370282006222588e-05,0.0250000095923921,9.617764430208782e-05,2913314,294080,4640,291715,4643,0.1009434616385326,0.0015926879148625,0.1001316713543408,0.0015937176699799
