date,Illinois-apple-driving,Illinois-apple-walking,Illinois-google-retail_and_recreation,Illinois-google-grocery_and_pharmacy,Illinois-google-parks,Illinois-google-transit_stations,Illinois-google-workplaces,Illinois-google-residential,Illinois-jh_beta_7,Illinois-jh_gamma_7,Illinois-cdc_beta_7,Illinois-cdc_gamma_7,Illinois-jh_beta_14,Illinois-jh_gamma_14,Illinois-cdc_beta_14,Illinois-cdc_gamma_14,Illinois-jh_beta_30,Illinois-jh_gamma_30,Illinois-cdc_beta_30,Illinois-cdc_gamma_30,Illinois-census_pop,Illinois-jh_confirmed,Illinois-jh_death,Illinois-cdc_confirmed,Illinois-cdc_death,Illinois-jh_confirmed_ratio,Illinois-jh_death_ratio,Illinois-cdc_confirmed_ratio,Illinois-cdc_death_ratio
02-25-2021,108.91,103.59,-21.0,-8.0,-29.0,-41.0,-31.0,11.0,0.0250000002825888,2.136661681471531e-05,0.0250000002825888,2.136661681471531e-05,0.025000002205493,5.428480916235339e-05,0.025000002205493,5.428480916235339e-05,0.0250000038237619,4.5666304011035705e-05,0.0250000038237619,4.5666304011035705e-05,12671821,1181226,22607,1181226,22607,0.0932167523515365,0.0017840371956011,0.0932167523515365,0.0017840371956011
02-26-2021,130.01,134.47,-20.0,-10.0,-27.0,-37.0,-31.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000018260261,4.612107658683862e-05,0.0250000018260261,4.612107658683862e-05,0.0250000036041097,4.359057650573828e-05,0.0250000036041097,4.359057650573828e-05,12671821,1183667,22675,1183667,22675,0.093409384491779,0.0017894034330188,0.093409384491779,0.0017894034330188
02-27-2021,138.04,168.86,-14.0,-1.0,18.0,-23.0,-7.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000018500607,4.6646348206701056e-05,0.0250000018500607,4.6646348206701056e-05,0.0250000034339889,4.1979067304468414e-05,0.0250000034339889,4.1979067304468414e-05,12671821,1185447,22710,1185447,22710,0.0935498536477117,0.0017921654669837,0.0935498536477117,0.0017921654669837
02-28-2021,95.97,102.26,-19.0,-10.0,-15.0,-31.0,-13.0,5.0,0.025,1e-05,0.025,1e-05,0.025000001769837,4.494925176805416e-05,0.025000001769837,4.494925176805416e-05,0.0250000031645465,3.936829887428717e-05,0.0250000031645465,3.936829887428717e-05,12671821,1186696,22735,1186696,22735,0.093648418802633,0.0017941383483873,0.093648418802633,0.0017941383483873
03-01-2021,102.45,97.24,-20.0,-8.0,-28.0,-41.0,-34.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000018023866,4.587378206781755e-05,0.0250000018023866,4.587378206781755e-05,0.0250000030595985,3.8434570146605714e-05,0.0250000030595985,3.8434570146605714e-05,12671821,1187839,22759,1187839,22759,0.0937386189404032,0.0017960323145347,0.0937386189404032,0.0017960323145347
03-02-2021,106.58,100.72,-19.0,-9.0,-20.0,-41.0,-32.0,11.0,0.025,1e-05,0.025,1e-05,0.025000001760025,4.52387506574321e-05,0.025000001760025,4.52387506574321e-05,0.0250000029670126,3.763183037675103e-05,0.0250000029670126,3.763183037675103e-05,12671821,1189416,22803,1189416,22803,0.0938630682993391,0.0017995045858049,0.0938630682993391,0.0017995045858049
03-03-2021,110.18,110.98,-15.0,-4.0,2.0,-38.0,-32.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000017847075,4.599731231099045e-05,0.0250000017847075,4.599731231099045e-05,0.0250000029643771,3.772242999527866e-05,0.0250000029643771,3.772242999527866e-05,12671821,1191520,22853,1191520,22853,0.0940291059982618,0.001803450348612,0.0940291059982618,0.001803450348612
03-04-2021,113.01,106.81,-18.0,-5.0,-21.0,-39.0,-31.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000018622764,4.779386903544884e-05,0.0250000018622764,4.779386903544884e-05,0.0250000030276679,3.846259853291854e-05,0.0250000030276679,3.846259853291854e-05,12671821,1193260,22902,1193260,22902,0.0941664185439488,0.001807317196163,0.0941664185439488,0.001807317196163
03-05-2021,133.69,141.47,-19.0,-7.0,-12.0,-36.0,-30.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000017015259,4.420840783494232e-05,0.0250000017015245,4.420839145426397e-05,0.0250000029554761,3.781150489944878e-05,0.0250000029554761,3.781150489944878e-05,12671821,1194702,22947,1194702,22946,0.0942802143433055,0.0018108683826894,0.0942802143433055,0.0018107894674332
03-06-2021,134.3,169.76,-13.0,-1.0,27.0,-23.0,-8.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000015548281,4.087605231563057e-05,0.0250000015537884,4.086006976283535e-05,0.0250000028133675,3.644468522424217e-05,0.0250000028130388,3.6442371882318086e-05,12671821,1197267,23003,1197267,23002,0.0944826319753096,0.0018152876370333,0.0944826319753096,0.0018152087217772
