date,Wyoming-apple-driving,Wyoming-apple-walking,Wyoming-google-retail_and_recreation,Wyoming-google-grocery_and_pharmacy,Wyoming-google-parks,Wyoming-google-transit_stations,Wyoming-google-workplaces,Wyoming-google-residential,Wyoming-jh_beta_7,Wyoming-jh_gamma_7,Wyoming-cdc_beta_7,Wyoming-cdc_gamma_7,Wyoming-jh_beta_14,Wyoming-jh_gamma_14,Wyoming-cdc_beta_14,Wyoming-cdc_gamma_14,Wyoming-jh_beta_30,Wyoming-jh_gamma_30,Wyoming-cdc_beta_30,Wyoming-cdc_gamma_30,Wyoming-census_pop,Wyoming-jh_confirmed,Wyoming-jh_death,Wyoming-cdc_confirmed,Wyoming-cdc_death,Wyoming-jh_confirmed_ratio,Wyoming-jh_death_ratio,Wyoming-cdc_confirmed_ratio,Wyoming-cdc_death_ratio
01-21-2021,128.07,165.07,-19.0,-9.0,-9.0,-5.0,-17.0,6.0,0.0250000003572844,2.137074219354363e-05,0.0250000003572844,2.137074219354363e-05,0.0249999970967355,0.0001196844548157,0.0249999970967355,0.0001196844548157,0.0250000127524997,0.0001238564595525,0.0250000127524997,0.0001238564595525,578759,50424,550,50424,550,0.0871243470943864,0.0009503091960556,0.0871243470943864,0.0009503091960556
01-22-2021,146.44,204.43,-22.0,-11.0,-12.0,-3.0,-12.0,7.0,0.025000000484069,2.683303190266228e-05,0.025000000484069,2.683303190266228e-05,0.0250000040675561,8.727788983746872e-05,0.0250000040675561,8.727788983746872e-05,0.0250000112167069,0.0001092377590041,0.0250000112167069,0.0001092377590041,578759,50583,571,50583,571,0.0873990728437916,0.000986593728996,0.0873990728437916,0.000986593728996
01-23-2021,145.18,179.1,-26.0,-15.0,-22.0,-13.0,-12.0,7.0,0.0250000007537133,3.6989202640718e-05,0.0250000007537133,3.6989202640718e-05,0.0250000000111427,9.245274892092166e-05,0.0250000000111427,9.245274892092166e-05,0.025000011729845,0.0001143666052514,0.025000011729845,0.0001143666052514,578759,50583,571,50583,571,0.0873990728437916,0.000986593728996,0.0873990728437916,0.000986593728996
01-24-2021,136.69,136.46,-22.0,-18.0,-14.0,-11.0,-13.0,5.0,0.025000000937065,4.519491042453994e-05,0.025000000937065,4.519491042453994e-05,0.0249999985980931,0.0001043386329386,0.0249999985980931,0.0001043386329386,0.0250000122710646,0.0001197962008621,0.0250000122710646,0.0001197962008621,578759,50898,571,50898,571,0.0879433408378962,0.000986593728996,0.0879433408378962,0.000986593728996
01-25-2021,117.82,163.75,-19.0,-10.0,-9.0,-10.0,-17.0,6.0,0.0250000010556577,5.159576471716873e-05,0.0250000010556577,5.159576471716873e-05,0.0249999965149086,0.0001144980387642,0.0249999965149086,0.0001144980387642,0.0250000127551745,0.0001248258871085,0.0250000127551745,0.0001248258871085,578759,51062,571,51022,571,0.088226705761811,0.000986593728996,0.0881575923657342,0.000986593728996
01-26-2021,118.7,149.72,-20.0,-13.0,-19.0,-16.0,-16.0,7.0,0.0250000011266229,5.6177637228309054e-05,0.0250000011266229,5.6177637228309054e-05,0.0249999928082896,0.0001219076020055,0.0249999928082896,0.0001219076020055,0.0250000130121775,0.0001280590845808,0.0250000130121775,0.0001280590845808,578759,51152,596,51152,596,0.0883822109029838,0.0010297896015439,0.0883822109029838,0.0010297896015439
01-27-2021,121.87,167.93,-20.0,-12.0,-14.0,-8.0,-17.0,6.0,0.0250000006734281,3.491613364309006e-05,0.0250000006734281,3.491613364309006e-05,0.0250000009871084,7.214347666149828e-05,0.0250000009871084,7.214347666149828e-05,0.025000013592794,0.0001336235828903,0.025000013592794,0.0001336235828903,578759,51368,596,51368,596,0.0887554232417984,0.0010297896015439,0.0887554232417984,0.0010297896015439
01-28-2021,131.35,171.98,-18.0,-11.0,-2.0,-8.0,-16.0,6.0,0.0250000008570056,4.262325507409746e-05,0.0250000008570056,4.262325507409746e-05,0.0249999994383446,8.399138554093371e-05,0.0249999994383446,8.399138554093371e-05,0.0250000112506115,0.0001107693872876,0.0250000112506115,0.0001107693872876,578759,51430,596,51430,596,0.0888625490057174,0.0010297896015439,0.0888625490057174,0.0010297896015439
01-29-2021,152.11,217.1,-18.0,-9.0,3.0,-4.0,-12.0,6.0,0.0250000009795706,4.8580256107623e-05,0.0250000009795706,4.8580256107623e-05,0.0249999967631968,9.394124970977663e-05,0.0249999967631968,9.394124970977663e-05,0.0250000116577209,0.0001150487925169,0.0250000116577209,0.0001150487925169,578759,51690,596,51690,596,0.0893117860802164,0.0010297896015439,0.0893117860802164,0.0010297896015439
01-30-2021,153.97,206.61,-16.0,-7.0,-2.0,-3.0,-10.0,4.0,0.0250000005085329,2.9131526435745625e-05,0.0250000005085329,2.9131526435745625e-05,0.0249999937116802,0.0001027735287375,0.0249999937116802,0.0001027735287375,0.0250000120132076,0.0001189435838706,0.0250000120132076,0.0001189435838706,578759,51704,596,51704,596,0.0893359757688433,0.0010297896015439,0.0893359757688433,0.0010297896015439
01-31-2021,133.03,153.56,-12.0,-10.0,11.0,-8.0,-10.0,3.0,0.0250000005488742,3.2061709975732586e-05,0.0250000005488742,3.2061709975732586e-05,0.0249999903606931,0.0001102962521006,0.0249999903606931,0.0001102962521006,0.0250000095740374,9.52912196991924e-05,0.0250000095740374,9.52912196991924e-05,578759,51912,596,51912,596,0.0896953654284425,0.0010297896015439,0.0896953654284425,0.0010297896015439
02-01-2021,124.49,165.03,-12.0,-4.0,9.0,-7.0,-15.0,4.0,0.0250000005691931,3.4122506547483114e-05,0.0250000005691931,3.4122506547483114e-05,0.0249999865930061,0.0001161433199387,0.0249999865930061,0.0001161433199387,0.0250000099052829,9.902525975039615e-05,0.0250000099052829,9.902525975039615e-05,578759,52057,596,52057,596,0.0899459014892209,0.0010297896015439,0.0899459014892209,0.0010297896015439
02-02-2021,124.06,166.78,-12.0,-4.0,9.0,-7.0,-15.0,5.0,0.0250000005749586,3.5153544004622e-05,0.0250000005746225,3.5136364750020074e-05,0.0249999828387842,0.0001205300834429,0.0249999828387842,0.0001205300834429,0.0250000101526205,0.0001020958046842,0.0250000101526205,0.0001020958046842,578759,52128,624,52128,624,0.0900685777672571,0.0010781689787977,0.0900685777672571,0.0010781689787977
