date,Kentucky-apple-driving,Kentucky-apple-walking,Kentucky-google-retail_and_recreation,Kentucky-google-grocery_and_pharmacy,Kentucky-google-parks,Kentucky-google-transit_stations,Kentucky-google-workplaces,Kentucky-google-residential,Kentucky-jh_beta_7,Kentucky-jh_gamma_7,Kentucky-cdc_beta_7,Kentucky-cdc_gamma_7,Kentucky-jh_beta_14,Kentucky-jh_gamma_14,Kentucky-cdc_beta_14,Kentucky-cdc_gamma_14,Kentucky-jh_beta_30,Kentucky-jh_gamma_30,Kentucky-cdc_beta_30,Kentucky-cdc_gamma_30,Kentucky-census_pop,Kentucky-jh_confirmed,Kentucky-jh_death,Kentucky-cdc_confirmed,Kentucky-cdc_death,Kentucky-jh_confirmed_ratio,Kentucky-jh_death_ratio,Kentucky-cdc_confirmed_ratio,Kentucky-cdc_death_ratio
03-16-2021,134.72,156.63,0.0,6.0,64.0,-2.0,-24.0,5.0,0.0250000004324869,2.7060947919937296e-05,0.025,1e-05,0.025000003367794,7.667871556178013e-05,0.025,1e-05,0.0250000042017672,4.797754062034653e-05,0.0250000015180072,2.4740011169259386e-05,4467673,417412,5029,423135,6840,0.0934293982572135,0.0011256419169442,0.0947103783110357,0.0015309983519384
03-17-2021,140.3,165.26,5.0,7.0,17.0,-3.0,-24.0,5.0,0.025000000437212,2.7393899386970494e-05,0.025,1e-05,0.0250000034369897,7.842380839179143e-05,0.025,1e-05,0.0250000043098778,4.9159218090725006e-05,0.02500000142422,2.388408481228733e-05,4467673,418372,5056,423774,6849,0.0936442752188891,0.0011316853314913,0.094853405788651,0.0015330128234541
03-18-2021,147.2,170.99,-1.0,3.0,13.0,-5.0,-25.0,6.0,0.0250000004015657,2.580415838652585e-05,0.025,1e-05,0.0250000033128572,7.579239897792507e-05,0.025,1e-05,0.0250000044436024,5.05618519581837e-05,0.0250000012928036,2.2633199477122488e-05,4467673,419149,5504,424460,6856,0.0938181912597452,0.0012319612469399,0.0950069532841817,0.001534579634633
03-19-2021,179.84,217.72,-2.0,3.0,37.0,0.0,-26.0,6.0,0.0250000008925866,4.040582364633247e-05,0.025,1e-05,0.0250000044999203,9.371178243166404e-05,0.025,1e-05,0.0250000048078166,5.305281445938665e-05,0.0250000011728795,2.1483958913982114e-05,4467673,419872,5695,425110,6862,0.0939800204715072,0.0012747128091066,0.0951524428936495,0.0015359226156435
03-20-2021,181.62,239.38,5.0,10.0,127.0,15.0,-8.0,-1.0,0.0250000014785171,6.038036215167917e-05,0.025,1e-05,0.0249999936839681,8.506573502477951e-05,0.025,1e-05,0.0250000053838856,5.737980520406484e-05,0.0250000010574298,2.0378032215375875e-05,4467673,420512,5720,425423,6868,0.0941232717792909,0.0012803085633169,0.0952225017363625,0.001537265596654
03-21-2021,136.65,155.04,7.0,8.0,121.0,14.0,-10.0,0.0,0.0250000824762697,0.0002101955576572,0.025,1e-05,0.0249999920992581,9.440303721369768e-05,0.025,1e-05,0.0250000057417846,5.975512565299566e-05,0.0250000009852761,1.9705407438876544e-05,4467673,420828,5738,425679,6880,0.0941940021125091,0.0012843375063483,0.095279802259476,0.0015399515586749
03-22-2021,137.72,160.89,1.0,3.0,52.0,-2.0,-24.0,6.0,0.0250001107739619,0.0002531906297995,0.025,1e-05,0.0249999862933234,0.0001107519954729,0.025,1e-05,0.0250000061139362,6.258116529461215e-05,0.0250000008657031,1.852543278998748e-05,4467673,421121,5799,426366,6891,0.0942595843518538,0.0012979911466215,0.0954335735851751,0.0015424136905274
03-23-2021,137.66,158.54,-1.0,4.0,48.0,-2.0,-24.0,5.0,0.0250001334995847,0.0002875880280318,0.025,1e-05,0.0249999783117065,0.0001275357596539,0.025,1e-05,0.0250000065200442,6.583198983129707e-05,0.0250000007786601,1.765498163762872e-05,4467673,421999,5814,427037,6896,0.0944561072397196,0.0013013485991476,0.0955837636281796,0.0015435328413695
03-24-2021,145.78,171.26,3.0,8.0,79.0,0.0,-24.0,5.0,0.0250001453455713,0.0003100733281432,0.025,1e-05,0.0249999701596875,0.0001399514316719,0.025,1e-05,0.0250000069209015,6.925239565522642e-05,0.0250000007003339,1.6872436277390317e-05,4467673,422694,5863,427748,6902,0.094611669206766,0.0013123162773998,0.0957429068779205,0.00154487582238
03-25-2021,143.97,162.85,-8.0,-1.0,5.0,-5.0,-25.0,7.0,0.0250001522932704,0.0003241884933927,0.025,1e-05,0.024999962810059,0.0001487730282665,0.025,1e-05,0.025000007391043,7.346474004008985e-05,0.0250000006614122,1.6494787250981122e-05,4467673,423414,5970,428347,6910,0.0947728269280227,0.0013362661054199,0.0958769811487993,0.0015466664637273
