date,Missouri-apple-driving,Missouri-apple-walking,Missouri-google-retail_and_recreation,Missouri-google-grocery_and_pharmacy,Missouri-google-parks,Missouri-google-transit_stations,Missouri-google-workplaces,Missouri-google-residential,Missouri-jh_beta_7,Missouri-jh_gamma_7,Missouri-cdc_beta_7,Missouri-cdc_gamma_7,Missouri-jh_beta_14,Missouri-jh_gamma_14,Missouri-cdc_beta_14,Missouri-cdc_gamma_14,Missouri-jh_beta_30,Missouri-jh_gamma_30,Missouri-cdc_beta_30,Missouri-cdc_gamma_30,Missouri-census_pop,Missouri-jh_confirmed,Missouri-jh_death,Missouri-cdc_confirmed,Missouri-cdc_death,Missouri-jh_confirmed_ratio,Missouri-jh_death_ratio,Missouri-cdc_confirmed_ratio,Missouri-cdc_death_ratio
02-15-2021,51.5,68.29,-59.0,-43.0,-63.0,-52.0,-63.0,26.0,0.0250000005827865,3.179078743282428e-05,0.025,1e-05,0.0249999921769202,9.085384751675384e-05,0.0250000015955675,4.173986532629085e-05,0.0250000062059708,6.554144945553982e-05,0.0250000041466711,4.8600117901489206e-05,6137428,552180,7783,542737,8398,0.0899692835500473,0.0012681207828425,0.0884306911624869,0.0013683256243494
02-16-2021,69.3,88.92,-38.0,-21.0,-42.0,-39.0,-54.0,22.0,0.0250000006398273,3.5441064861245615e-05,0.025,1e-05,0.0249999900889562,9.61205570551376e-05,0.0250000014689899,3.910319383662399e-05,0.0250000062173225,6.587991175841243e-05,0.0250000039609653,4.692903691641011e-05,6137428,552960,7787,543522,8412,0.0900963726173244,0.0012687725216491,0.0885585949032721,0.0013706067101724
02-17-2021,76.49,93.97,-34.0,-23.0,-52.0,-33.0,-43.0,16.0,0.0250000006490021,3.706577467472792e-05,0.025,1e-05,0.0250000031680703,7.127559726544226e-05,0.0250000014045198,3.783737722279915e-05,0.0250000064139401,6.81261288644753e-05,0.0250000037517306,4.5010061279442686e-05,6137428,553915,7821,544279,8424,0.0902519752573879,0.0012743123015047,0.0886819364724115,0.001372561926592
02-18-2021,96.4,118.15,-21.0,-9.0,-33.0,-27.0,-33.0,14.0,0.0250000006669073,3.8396861842353285e-05,0.025,1e-05,0.0250000026925148,6.135958021658689e-05,0.0250000013598532,3.703726304038836e-05,0.0250000066076169,7.031660231910558e-05,0.0250000035344092,4.3035322024715816e-05,6137428,554986,7997,545190,8438,0.0904264783228414,0.0013029888089929,0.088830369985603,0.0013748430124149
02-19-2021,120.5,154.6,-12.0,-10.0,-19.0,-18.0,-16.0,9.0,0.0250000002888582,2.024557780159774e-05,0.025,1e-05,0.0250000030185928,6.70309408540085e-05,0.0250000012093028,3.390515854959323e-05,0.0250000068273288,7.244886613054423e-05,0.0250000033114416,4.098529285006482e-05,6137428,555909,8048,545979,8455,0.0905768670524525,0.0013112984787764,0.0889589254651948,0.0013776129023428
02-20-2021,126.61,177.12,-13.0,-2.0,-6.0,-15.0,-3.0,4.0,0.025000000388124,2.3292779573034768e-05,0.025,1e-05,0.025000003468599,7.575210715705014e-05,0.0250000011826159,3.3442846232081644e-05,0.025000005717403,6.125848349596817e-05,0.0250000031416429,3.944423394218624e-05,6137428,556700,8059,546475,8468,0.0907057484014476,0.0013130907604944,0.0890397410772069,0.001379731053464
02-21-2021,89.56,106.43,-14.0,-8.0,-32.0,-18.0,-10.0,5.0,0.0250000004496834,2.576278024894629e-05,0.025,1e-05,0.0250000037990459,8.271336449239081e-05,0.0250000012413522,3.486959675766898e-05,0.0250000057422623,6.154297558023873e-05,0.0250000029984015,3.815923215068856e-05,6137428,557278,8059,546899,8486,0.0907999246589939,0.0013130907604944,0.0891088253907011,0.0013826638780935
02-22-2021,105.36,129.92,-11.0,-4.0,-3.0,-19.0,-23.0,8.0,0.0250000005298663,2.992238264391833e-05,0.025,1e-05,0.0250000041842994,9.169502220664276e-05,0.0250000011633881,3.3226156065243794e-05,0.0250000056763833,6.101510540730769e-05,0.0250000027740259,3.60351695845093e-05,6137428,558218,8062,547858,8504,0.0909530832785329,0.0013135795645993,0.0892650797695712,0.001385596702723
02-23-2021,113.4,144.33,-7.0,-2.0,62.0,-14.0,-24.0,6.0,0.0250000005796147,3.318467111662605e-05,0.025,1e-05,0.0249999945012622,7.53678435959042e-05,0.0250000011825408,3.365886669940248e-05,0.0250000057770353,6.223612206339415e-05,0.025000002649838,3.488629685150087e-05,6137428,559438,8206,548570,8512,0.0911518636145303,0.0013370421616351,0.0893810892771369,0.0013869001803361
02-24-2021,113.29,143.63,-2.0,-2.0,3.0,-8.0,-22.0,5.0,0.0250000007251343,3.905349966360774e-05,0.025,1e-05,0.0249999927793939,8.18697145441871e-05,0.0250000011038757,3.203149817380073e-05,0.0250000060297172,6.474194647582333e-05,0.0250000025415666,3.390134217572889e-05,6137428,560327,8223,549175,8523,0.0912967125642858,0.0013398120515629,0.0894796647716274,0.0013886924620541
02-25-2021,116.49,143.16,-10.0,-4.0,1.0,-11.0,-22.0,7.0,0.0250000007590525,4.04891182665368e-05,0.025,1e-05,0.0249999909595162,8.733854154172014e-05,0.0250000010687246,3.137833192567294e-05,0.0250000062667557,6.714920366041975e-05,0.0250000024109994,3.270870722413285e-05,6137428,561281,8255,549769,8532,0.0914521522696478,0.0013450259620153,0.0895764479843999,0.0013901588743688
