date,Connecticut-apple-driving,Connecticut-apple-walking,Connecticut-google-retail_and_recreation,Connecticut-google-grocery_and_pharmacy,Connecticut-google-parks,Connecticut-google-transit_stations,Connecticut-google-workplaces,Connecticut-google-residential,Connecticut-jh_beta_7,Connecticut-jh_gamma_7,Connecticut-cdc_beta_7,Connecticut-cdc_gamma_7,Connecticut-jh_beta_14,Connecticut-jh_gamma_14,Connecticut-cdc_beta_14,Connecticut-cdc_gamma_14,Connecticut-jh_beta_30,Connecticut-jh_gamma_30,Connecticut-cdc_beta_30,Connecticut-cdc_gamma_30,Connecticut-census_pop,Connecticut-jh_confirmed,Connecticut-jh_death,Connecticut-cdc_confirmed,Connecticut-cdc_death,Connecticut-jh_confirmed_ratio,Connecticut-jh_death_ratio,Connecticut-cdc_confirmed_ratio,Connecticut-cdc_death_ratio
04-26-2021,127.54,139.94,-6.0,-4.0,49.0,-22.0,-26.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000008764493,2.7985549368539887e-05,0.0250000008899289,2.8422523233546368e-05,0.0250000005648219,1.5103266832964011e-05,0.025000000576261,1.520710659008279e-05,3565287,336933,8066,336933,8066,0.0945037524328336,0.0022623704627425,0.0945037524328336,0.0022623704627425
04-27-2021,132.09,144.85,-6.0,-6.0,58.0,-23.0,-28.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000007841803,2.585590520252203e-05,0.025000000793888,2.6226501700843585e-05,0.0250000006521917,1.5953560799145584e-05,0.0250000006625309,1.6052147291770663e-05,3565287,337340,8067,337340,8067,0.0946179087405866,0.0022626509450711,0.0946179087405866,0.0022626509450711
04-28-2021,138.26,150.13,-4.0,-4.0,71.0,-22.0,-29.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000005942503,2.170646560890252e-05,0.0250000006007886,2.2009250644414565e-05,0.0250000007319711,1.675381844132621e-05,0.0250000007412739,1.6847262317480854e-05,3565287,337961,8080,337961,8080,0.0947920882666669,0.0022662972153433,0.0947920882666669,0.0022662972153433
04-29-2021,136.06,139.28,-10.0,-5.0,-3.0,-23.0,-27.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000005538177,2.0697364675845103e-05,0.0250000005578439,2.093375688529729e-05,0.025000000588363,1.530709197787896e-05,0.0250000005965948,1.5394606824777068e-05,3565287,338447,8084,338447,8084,0.0949284026783818,0.0022674191446579,0.0949284026783818,0.0022674191446579
04-30-2021,166.47,178.65,-8.0,-6.0,35.0,-19.0,-25.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000005738107,2.11393412392682e-05,0.0250000005759474,2.130972248130199e-05,0.0250000006381586,1.5813226559491775e-05,0.025000000645445,1.5895451830122988e-05,3565287,339233,8097,339233,8097,0.0951488617886863,0.0022710654149301,0.0951488617886863,0.0022710654149301
05-01-2021,171.46,201.06,-1.0,-3.0,161.0,-8.0,-10.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000006335849,2.2337733499106895e-05,0.0250000006344505,2.2443418060826647e-05,0.0250000006776813,1.6186211959254433e-05,0.0250000007172725,1.6601293257386808e-05,3565287,339233,8097,339669,8097,0.0951488617886863,0.0022710654149301,0.0952711520839696,0.0022710654149301
05-02-2021,133.59,148.47,2.0,-5.0,100.0,-8.0,-10.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000007561984,2.5153521894928923e-05,0.0250000006458467,2.276005291892969e-05,0.0250000006198579,1.561792358990344e-05,0.0250000006254724,1.5689628723599572e-05,3565287,339233,8097,340105,8097,0.0951488617886863,0.0022710654149301,0.095393442379253,0.0022710654149301
05-03-2021,128.93,136.31,-4.0,1.0,30.0,-21.0,-26.0,7.0,0.025,1e-05,0.025,1e-05,0.025000000853317,2.755890653154102e-05,0.0250000006321723,2.26877197520764e-05,0.0250000006366361,1.5828366902375654e-05,0.025000000641508,1.589468560191331e-05,3565287,340545,8112,340545,8112,0.0955168546038509,0.0022752726498596,0.0955168546038509,0.0022752726498596
05-04-2021,131.93,141.51,-5.0,1.0,28.0,-24.0,-27.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000006342872,2.270199163991468e-05,0.0250000006342872,2.270199163991468e-05,0.0250000007178339,1.6645609807483265e-05,0.0250000007220489,1.6706976790578868e-05,3565287,340962,8117,340962,8117,0.0956338157348903,0.0022766750615027,0.0956338157348903,0.0022766750615027
05-05-2021,135.15,144.33,-6.0,-3.0,-8.0,-25.0,-29.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000006472742,2.3010371172430632e-05,0.0250000006472742,2.3010371172430632e-05,0.0250000007965876,1.7446437200983447e-05,0.0250000008002003,1.7502959323657286e-05,3565287,341571,8124,341571,8124,0.095804629473027,0.0022786384378031,0.095804629473027,0.0022786384378031
05-06-2021,147.24,158.01,-3.0,0.0,65.0,-17.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000006426154,2.2915037551076784e-05,0.0250000006426154,2.2915037551076784e-05,0.0250000006424652,1.5912070874039953e-05,0.0250000006454999,1.5963429687143325e-05,3565287,342282,8131,342282,8131,0.096004052408684,0.0022806018141036,0.096004052408684,0.0022806018141036
05-07-2021,171.49,185.2,-6.0,-3.0,49.0,-16.0,-25.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000005460036,2.0771574094572877e-05,0.0250000005460036,2.0771574094572877e-05,0.0250000006352467,1.5851153447063962e-05,0.0250000006377786,1.589776227547471e-05,3565287,342718,8137,342718,8137,0.0961263427039674,0.0022822847080753,0.0961263427039674,0.0022822847080753
05-08-2021,173.2,193.06,1.0,10.0,108.0,-7.0,-11.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000005201323,2.0225839237677867e-05,0.0250000005201323,2.0225839237677867e-05,0.0250000006497158,1.601454521235233e-05,0.0250000006517978,1.605653928241644e-05,3565287,342718,8137,342993,8137,0.0961263427039674,0.0022822847080753,0.0962034753443411,0.0022822847080753
05-09-2021,125.94,134.28,6.0,3.0,61.0,-8.0,-11.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000006189901,2.261647922988268e-05,0.0250000006184713,2.2610659919890125e-05,0.0250000006562388,1.612263294355325e-05,0.0250000006579211,1.6160141056273217e-05,3565287,342718,8137,343268,8137,0.0961263427039674,0.0022822847080753,0.0962806079847148,0.0022822847080753
05-10-2021,132.74,139.63,-5.0,-3.0,31.0,-20.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000006964103,2.4641813806208823e-05,0.0250000006956554,2.463867888496349e-05,0.0250000006620423,1.6251508104763858e-05,0.0250000006633695,1.628457533724909e-05,3565287,343545,8154,343545,8154,0.0963583015897457,0.0022870529076621,0.0963583015897457,0.0022870529076621
05-11-2021,141.69,152.03,-3.0,-1.0,58.0,-19.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007355107,1.7008452755757355e-05,0.0250000007365365,1.7037371630541092e-05,3565287,343954,8156,343954,8156,0.0964730188621561,0.0022876138723193,0.0964730188621561,0.0022876138723193
05-12-2021,147.11,157.61,-1.0,0.0,60.0,-17.0,-28.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000005514593,2.142076719764945e-05,0.0250000005514593,2.142076719764945e-05,0.0250000008035897,1.7725402981139053e-05,0.0250000008043561,1.775026445399524e-05,3565287,344141,8161,344141,8161,0.0965254690576102,0.0022890162839625,0.0965254690576102,0.0022890162839625
05-13-2021,152.0,164.0,-1.0,0.0,71.0,-13.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007079501,1.6804087574735028e-05,0.0250000007084921,1.682479912329084e-05,3565287,344612,8168,344612,8168,0.0966575762343957,0.0022909796602629,0.0966575762343957,0.0022909796602629
05-14-2021,179.32,194.23,-4.0,-5.0,71.0,-11.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005813538,1.5542350871737993e-05,0.0250000005817162,1.5559159831434666e-05,3565287,344977,8173,344977,8173,0.0967599522843462,0.0022923820719061,0.0967599522843462,0.0022923820719061
05-15-2021,183.36,214.59,1.0,-2.0,199.0,1.0,-11.0,-1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005285036,1.5036769125555889e-05,0.0250000005287245,1.5049767900764409e-05,3565287,344977,8173,345197,8173,0.0967599522843462,0.0022923820719061,0.0968216583966452,0.0022923820719061
05-16-2021,140.19,149.18,2.0,-4.0,73.0,2.0,-9.0,1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005173836,1.4969356543550863e-05,0.0250000005175002,1.4978686888128891e-05,3565287,344977,8173,345417,8173,0.0967599522843462,0.0022923820719061,0.0968833645089441,0.0022923820719061
05-17-2021,143.31,156.14,1.0,3.0,67.0,-15.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000005090635,1.4949657241818204e-05,0.0250000005091104,1.495540875134976e-05,3565287,345639,8194,345639,8194,0.0969456315859003,0.0022982722008073,0.0969456315859003,0.0022982722008073
05-18-2021,149.02,163.7,1.0,3.0,78.0,-15.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000578225,1.565240283909016e-05,0.0250000005091769,1.4955687048039036e-05,3565287,345720,8198,345720,8198,0.0969683506545195,0.0022993941301219,0.0969683506545195,0.0022993941301219
