date,Louisiana-apple-driving,Louisiana-apple-walking,Louisiana-google-retail_and_recreation,Louisiana-google-grocery_and_pharmacy,Louisiana-google-parks,Louisiana-google-transit_stations,Louisiana-google-workplaces,Louisiana-google-residential,Louisiana-jh_beta_7,Louisiana-jh_gamma_7,Louisiana-cdc_beta_7,Louisiana-cdc_gamma_7,Louisiana-jh_beta_14,Louisiana-jh_gamma_14,Louisiana-cdc_beta_14,Louisiana-cdc_gamma_14,Louisiana-jh_beta_30,Louisiana-jh_gamma_30,Louisiana-cdc_beta_30,Louisiana-cdc_gamma_30,Louisiana-census_pop,Louisiana-jh_confirmed,Louisiana-jh_death,Louisiana-cdc_confirmed,Louisiana-cdc_death,Louisiana-jh_confirmed_ratio,Louisiana-jh_death_ratio,Louisiana-cdc_confirmed_ratio,Louisiana-cdc_death_ratio
03-27-2021,146.48,87.93,-2.0,2.0,-2.0,-7.0,-14.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000017597115,4.501482035028861e-05,0.0250000017597115,4.501482035028861e-05,0.0250000026404684,3.4516768467320254e-05,0.0250000026404684,3.4516768467320254e-05,4648794,443069,10087,443069,10087,0.0953083746021011,0.0021698100625667,0.0953083746021011,0.0021698100625667
03-28-2021,100.88,52.75,-1.0,3.0,-9.0,-5.0,-17.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000019404302,4.939304903091067e-05,0.0250000019404302,4.939304903091067e-05,0.0250000024844129,3.303019709343851e-05,0.0250000024844129,3.303019709343851e-05,4648794,443069,10087,443069,10087,0.0953083746021011,0.0021698100625667,0.0953083746021011,0.0021698100625667
03-29-2021,116.31,52.74,1.0,2.0,9.0,-9.0,-19.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000017550445,4.584743770769779e-05,0.0250000017550445,4.584743770769779e-05,0.0250000023722884,3.2029555993632435e-05,0.0250000023722884,3.2029555993632435e-05,4648794,443905,10122,443905,10122,0.0954882061885297,0.0021773388969268,0.0954882061885297,0.0021773388969268
03-30-2021,118.75,52.51,2.0,5.0,-4.0,-10.0,-21.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000016933525,4.445504327469064e-05,0.0250000016933525,4.445504327469064e-05,0.0250000025028311,3.342419089371313e-05,0.0250000025028311,3.342419089371313e-05,4648794,444414,10132,444414,10132,0.0955976969510802,0.0021794899924582,0.0955976969510802,0.0021794899924582
03-31-2021,121.19,52.62,4.0,5.0,-10.0,-7.0,-22.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000015767263,4.189832623494265e-05,0.0250000015767263,4.189832623494265e-05,0.0250000024392327,3.287458066506027e-05,0.0250000024392327,3.287458066506027e-05,4648794,444933,10141,444933,10141,0.0957093388091621,0.0021814259784365,0.0957093388091621,0.0021814259784365
04-01-2021,140.34,62.84,10.0,14.0,-2.0,0.0,-22.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000013305163,3.652005849752664e-05,0.0250000013305163,3.652005849752664e-05,0.0250000023882666,3.244462868950564e-05,0.0250000023882666,3.244462868950564e-05,4648794,445469,10161,445469,10161,0.0958246375296474,0.0021857281694994,0.0958246375296474,0.0021857281694994
04-02-2021,134.96,74.39,-4.0,9.0,4.0,-14.0,-48.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000012622044,3.493291952180838e-05,0.0250000012622044,3.493291952180838e-05,0.0250000023467896,3.209502891917426e-05,0.0250000023467896,3.209502891917426e-05,4648794,445469,10161,445469,10161,0.0958246375296474,0.0021857281694994,0.0958246375296474,0.0021857281694994
04-03-2021,126.44,76.71,-4.0,14.0,-11.0,-9.0,-19.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000012249024,3.4327629095671944e-05,0.0250000012249024,3.4327629095671944e-05,0.0250000022779792,3.1495228150358465e-05,0.0250000022779792,3.1495228150358465e-05,4648794,445469,10161,445469,10161,0.0958246375296474,0.0021857281694994,0.0958246375296474,0.0021857281694994
04-04-2021,92.46,49.43,-26.0,-2.0,13.0,-5.0,-26.0,-1.0,0.025,1e-05,0.025,1e-05,0.0250000013539776,3.7625455665532575e-05,0.0250000013539776,3.7625455665532575e-05,0.0250000022199299,3.103625419642319e-05,0.0250000022199299,3.103625419642319e-05,4648794,445469,10161,445469,10161,0.0958246375296474,0.0021857281694994,0.0958246375296474,0.0021857281694994
04-05-2021,122.07,55.09,1.0,2.0,10.0,-7.0,-31.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000014537694,4.038633778691885e-05,0.0250000014537694,4.038633778691885e-05,0.0250000020539567,2.9492533804625395e-05,0.0250000020539567,2.9492533804625395e-05,4648794,446737,10165,446737,10165,0.0960973964430344,0.002186588607712,0.0960973964430344,0.002186588607712
