date,Iowa-apple-driving,Iowa-apple-walking,Iowa-google-retail_and_recreation,Iowa-google-grocery_and_pharmacy,Iowa-google-parks,Iowa-google-transit_stations,Iowa-google-workplaces,Iowa-google-residential,Iowa-jh_beta_7,Iowa-jh_gamma_7,Iowa-cdc_beta_7,Iowa-cdc_gamma_7,Iowa-jh_beta_14,Iowa-jh_gamma_14,Iowa-cdc_beta_14,Iowa-cdc_gamma_14,Iowa-jh_beta_30,Iowa-jh_gamma_30,Iowa-cdc_beta_30,Iowa-cdc_gamma_30,Iowa-census_pop,Iowa-jh_confirmed,Iowa-jh_death,Iowa-cdc_confirmed,Iowa-cdc_death,Iowa-jh_confirmed_ratio,Iowa-jh_death_ratio,Iowa-cdc_confirmed_ratio,Iowa-cdc_death_ratio
03-25-2021,141.34,139.38,-1.0,4.0,5.0,-10.0,-20.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000003777438,1.844587712211309e-05,0.0250000003784865,1.8460542565261463e-05,0.025000001837599,2.821229725954148e-05,0.025000001837712,2.821327134037269e-05,3155070,348498,5708,347872,5708,0.1104565033422396,0.0018091516194569,0.1102580925304351,0.0018091516194569
03-26-2021,171.89,182.86,5.0,9.0,37.0,-4.0,-16.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000016360251,2.6199624862371743e-05,0.0250000016400606,2.6234482001765967e-05,3155070,349057,5716,348695,5716,0.1106336784920778,0.0018116872208857,0.1105189425274241,0.0018116872208857
03-27-2021,181.05,214.19,3.0,13.0,33.0,-7.0,-2.0,2.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000015524028,2.540235431023683e-05,0.0250000015559437,2.543301398868009e-05,3155070,349554,5718,349178,5718,0.1107912027308427,0.0018123211212429,0.1106720294636886,0.0018123211212429
03-28-2021,134.48,131.6,13.0,22.0,68.0,-3.0,-3.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000002497946,1.5108966252937864e-05,0.0250000002502696,1.5118075791248298e-05,0.0250000013797736,2.3682466317887948e-05,0.0250000013824583,2.3705777417455824e-05,3155070,349714,5725,349626,5725,0.1108419147594189,0.0018145397724931,0.110814023143702,0.0018145397724931
03-29-2021,135.52,142.22,4.0,15.0,77.0,-8.0,-19.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000001186109,2.173336494007792e-05,0.0250000011880122,2.1749936868634603e-05,3155070,350219,5729,349885,5729,0.1110019745996126,0.0018158075732075,0.1108961132399598,0.0018158075732075
03-30-2021,138.04,139.08,0.0,13.0,33.0,-11.0,-21.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000002940678,1.597718956092862e-05,0.0250000002946205,1.5987722034546984e-05,0.0250000011786398,2.173101053966939e-05,0.0250000011805904,2.174805275098113e-05,3155070,350756,5729,350462,5729,0.1111721768455216,0.0018158075732075,0.1110789934930128,0.0018158075732075
03-31-2021,143.66,143.78,6.0,19.0,15.0,-4.0,-19.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000012278558,2.2333686891404288e-05,0.0250000012288421,2.2342338110030412e-05,3155070,351402,5743,350999,5743,0.1113769266608981,0.0018202448757079,0.1112491957389218,0.0018202448757079
04-01-2021,159.67,159.36,10.0,16.0,53.0,-4.0,-21.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000012832941,2.2966699323785654e-05,0.0250000012851002,2.2982576552511887e-05,3155070,352137,5751,351795,5751,0.1116098850421702,0.0018227804771367,0.1115014880810885,0.0018227804771367
04-02-2021,184.13,194.47,15.0,24.0,70.0,-1.0,-30.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000010782594,2.0862792426491803e-05,0.025000001081341,2.088994739128262e-05,3155070,352714,5754,352384,5754,0.1117927652952232,0.0018237313276726,0.1116881717362847,0.0018237313276726
04-03-2021,169.52,194.98,3.0,33.0,161.0,-3.0,-8.0,-1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000011091816,2.123002949981959e-05,0.0250000011116027,2.1251404300444594e-05,3155070,353207,5822,352874,5822,0.1119490217332737,0.0018452839398175,0.1118434773237994,0.0018452839398175
04-04-2021,116.23,107.95,-17.0,14.0,154.0,-4.0,-17.0,-2.0,0.025,1e-05,0.025,1e-05,0.0250000004249688,1.790571750984798e-05,0.0250000004256796,1.7918571190623154e-05,0.025000000873883,1.859236124467952e-05,0.0250000008759539,1.8610484350426065e-05,3155070,353362,5822,353280,5822,0.1119981490109569,0.0018452839398175,0.1119721590963116,0.0018452839398175
04-05-2021,150.46,156.09,11.0,19.0,114.0,-4.0,-25.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000005924925,2.11549733195212e-05,0.0250000005927451,2.1159488533665973e-05,0.0250000008551687,1.826846795724425e-05,0.0250000008573946,1.828780593165127e-05,3155070,353829,5822,353548,5822,0.1121461647443638,0.0018452839398175,0.1120571017441768,0.0018452839398175
04-06-2021,148.37,156.28,4.0,17.0,96.0,-10.0,-22.0,5.0,0.0250000003352828,2.264261035427436e-05,0.0250000003351272,2.2635279246083657e-05,0.0250000007383314,2.424286141696044e-05,0.0250000007394194,2.4262367606399127e-05,0.0250000009295539,1.8961156865596484e-05,0.025000000931233,1.8975679545210623e-05,3155070,354557,5835,354072,5835,0.1123769044743856,0.0018494042921393,0.1122231836377639,0.0018494042921393
04-07-2021,141.77,147.39,6.0,17.0,48.0,-3.0,-19.0,5.0,0.0250000004104258,2.6376807054147944e-05,0.025000000410235,2.636726735759946e-05,0.0250000007923681,2.529856301587211e-05,0.0250000007945257,2.5337129136516047e-05,0.0250000009778455,1.937115941839319e-05,0.0250000009784683,1.937652026688619e-05,3155070,354829,5836,354822,5836,0.1124631149229652,0.0018497212423179,0.112460896271715,0.0018497212423179
04-08-2021,150.95,152.03,3.0,9.0,29.0,-8.0,-19.0,6.0,0.0250000003759948,2.5529187722233177e-05,0.0250000003757689,2.5517113005917327e-05,0.0250000008435092,2.651509542122707e-05,0.0250000008451255,2.6544155902988275e-05,0.0250000010660242,2.0237840197339257e-05,0.0250000010683447,2.02577707495058e-05,3155070,355454,5843,355453,5843,0.1126612087845911,0.0018519398935681,0.1126608918344125,0.0018519398935681
04-09-2021,182.32,198.65,7.0,11.0,46.0,-4.0,-16.0,3.0,0.0250000003701032,2.584594044066885e-05,0.0250000003699167,2.5835425911509974e-05,0.0250000007354274,2.420673373627655e-05,0.0250000007378146,2.4249571820578034e-05,0.0250000010054666,1.9559129861116577e-05,0.0250000010090381,1.9589716797630517e-05,3155070,356073,5849,356068,5849,0.1128574009451454,0.0018538415946397,0.1128558161942524,0.0018538415946397
04-10-2021,186.54,214.02,1.0,12.0,35.0,-7.0,-2.0,2.0,0.0250000003883484,2.701424722050005e-05,0.0250000003881545,2.7003045990905117e-05,0.0250000007448986,2.4641531595564355e-05,0.0250000007462864,2.466668360694332e-05,0.0250000008204777,1.7584331241425385e-05,0.0250000008220782,1.759798362669023e-05,3155070,356823,5857,356509,5857,0.1130951135790965,0.0018563771960685,0.1129955912230156,0.0018563771960685
04-11-2021,143.27,135.42,14.0,23.0,102.0,0.0,-5.0,0.0,0.025,1e-05,0.025,1e-05,0.0250000008189461,2.657338424285545e-05,0.025000000820476,2.6601507582914995e-05,0.0250000007069383,1.636452738185986e-05,0.0250000007083611,1.6376622861512374e-05,3155070,357019,5857,356946,5857,0.1131572358141023,0.0018563771960685,0.1131340984510644,0.0018563771960685
04-12-2021,142.35,143.03,5.0,17.0,75.0,-6.0,-19.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000008153838,2.687869028101582e-05,0.0250000008157401,2.6885337660507178e-05,0.0250000006965901,1.6262865191311218e-05,0.025000000698055,1.6275323899754358e-05,3155070,357197,5857,357178,5857,0.1132136529458934,0.0018563771960685,0.1132076308925,0.0018563771960685
04-13-2021,143.82,148.02,2.0,15.0,58.0,-9.0,-20.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000008262074,2.759750518895321e-05,0.0250000008275701,2.7623381384366145e-05,0.0250000007395773,1.6750993151699407e-05,0.0250000007407325,1.6760848872932072e-05,3155070,357739,5857,357739,5857,0.1133854399426954,0.0018563771960685,0.1133854399426954,0.0018563771960685
