date,Delaware-apple-driving,Delaware-apple-walking,Delaware-google-retail_and_recreation,Delaware-google-grocery_and_pharmacy,Delaware-google-parks,Delaware-google-transit_stations,Delaware-google-workplaces,Delaware-google-residential,Delaware-jh_beta_7,Delaware-jh_gamma_7,Delaware-cdc_beta_7,Delaware-cdc_gamma_7,Delaware-jh_beta_14,Delaware-jh_gamma_14,Delaware-cdc_beta_14,Delaware-cdc_gamma_14,Delaware-jh_beta_30,Delaware-jh_gamma_30,Delaware-cdc_beta_30,Delaware-cdc_gamma_30,Delaware-census_pop,Delaware-jh_confirmed,Delaware-jh_death,Delaware-cdc_confirmed,Delaware-cdc_death,Delaware-jh_confirmed_ratio,Delaware-jh_death_ratio,Delaware-cdc_confirmed_ratio,Delaware-cdc_death_ratio
01-24-2021,92.24,118.72,-24.0,-15.0,-26.0,-45.0,-15.0,6.0,0.0250000006735083,3.568774921450483e-05,0.025,1e-05,0.0250000217535587,0.0001252647178946,0.0250000023775565,5.671583391791852e-05,0.0250000128707944,0.0001198843640774,0.0250000070106221,7.022581078799454e-05,973764,74575,1267,76458,1041,0.0765842647705193,0.001301136620372,0.078517998200796,0.0010690475310239
01-25-2021,102.38,125.03,-23.0,-12.0,-27.0,-41.0,-33.0,11.0,0.0250000006473845,3.460377500644073e-05,0.025,1e-05,0.0250000201062106,0.0001242215692999,0.0250000024600459,5.8535906224858265e-05,0.0250000125641551,0.0001171167440369,0.025000006990114,7.037952227500896e-05,973764,75191,1271,76764,1049,0.077216861580424,0.0013052443918649,0.0788322427200019,0.0010772630740097
01-26-2021,101.89,134.49,-26.0,-17.0,-34.0,-48.0,-33.0,13.0,0.0250000006189924,3.371150876286851e-05,0.025,1e-05,0.025000018541238,0.0001226431838917,0.0250000020039682,4.849679676806885e-05,0.0250000123880033,0.0001157951512422,0.0250000069624352,7.032173564582619e-05,973764,75490,1276,77118,1065,0.0775239174995173,0.001310379106231,0.0791957804971225,0.0010936941599812
01-27-2021,108.16,136.81,-20.0,-12.0,-19.0,-42.0,-33.0,12.0,0.0250000005880574,3.277461100762736e-05,0.0250000003276938,2.1598101585996985e-05,0.0250000161424834,0.0001175417743565,0.0250000021384555,5.03232284278533e-05,0.0250000117745296,0.0001102527946861,0.0250000071631382,7.219039997730056e-05,973764,75832,1283,77782,1072,0.0778751319621592,0.0013175677063436,0.0798776705649418,0.0011008827600938
01-28-2021,108.75,142.73,-22.0,-12.0,-31.0,-45.0,-32.0,12.0,0.0250000005574663,3.16919081766197e-05,0.0250000003868967,2.363860888746452e-05,0.0250000141720159,0.0001147574700365,0.025000002390961,5.478519150844956e-05,0.0250000116078457,0.0001089423748016,0.0250000073943335,7.440862925013471e-05,973764,76495,1292,78229,1075,0.0785559950871053,0.0013268101922026,0.0803367140292719,0.0011039635887134
01-29-2021,128.06,160.49,-23.0,-13.0,-37.0,-48.0,-32.0,13.0,0.0250000004856183,2.8574239481404398e-05,0.0250000004741981,2.7485506411655684e-05,0.025000011694506,0.0001079443542846,0.0250000027107113,6.10940235286651e-05,0.0250000115845946,0.0001091079228071,0.0250000077142348,7.747235243455599e-05,973764,76935,1299,78850,1078,0.0790078499513229,0.0013339987923151,0.0809744455535427,0.0011070444173331
01-30-2021,122.37,156.81,-13.0,2.0,-37.0,-39.0,-7.0,6.0,0.0250000004385014,2.648718889632027e-05,0.02500000055452,3.139593484850511e-05,0.025000010964013,0.0001118790525439,0.0250000026744433,6.007016164024949e-05,0.0250000114908471,0.0001084971205319,0.0250000064546959,6.551929384364039e-05,973764,77551,1301,79386,1081,0.0796404467612275,0.0013360526780616,0.0815248869335896,0.0011101252459528
01-31-2021,66.65,92.69,-38.0,-17.0,-47.0,-57.0,-21.0,9.0,0.0250000004880007,2.885482246008801e-05,0.0250000004943193,2.9392953690687327e-05,0.0250000095742626,0.0001120447256282,0.025000002227613,5.047401102551559e-05,0.025000011380241,0.0001080369983216,0.0250000061372305,6.260695307081346e-05,973764,78071,1305,79823,1090,0.0801744570553029,0.0013401604495545,0.0819736609691876,0.0011193677318118
02-01-2021,65.0,95.27,-48.0,-37.0,-54.0,-67.0,-53.0,22.0,0.0250000003785885,2.4444864262875573e-05,0.0250000005083391,3.01422327931998e-05,0.0250000043413201,9.51619418517506e-05,0.0250000025809179,5.7927469839708944e-05,0.025000011434472,0.0001091118831291,0.0250000063888469,6.516122340425622e-05,973764,78495,1308,80037,1101,0.0806098808335489,0.0013432412781741,0.082193426744057,0.0011306641034172
02-02-2021,81.25,110.34,-35.0,-25.0,-36.0,-56.0,-44.0,19.0,0.0250000003812004,2.4882321058022307e-05,0.0250000005042818,2.9651743173165448e-05,0.0250000041028763,9.085611983083505e-05,0.0250000029883338,6.630563037881365e-05,0.0250000112209461,0.000107746924115,0.0250000066944952,6.810317978446468e-05,973764,78696,1316,80323,1108,0.0808162963510665,0.0013514568211599,0.0824871324057985,0.0011378527035298
02-03-2021,106.95,136.25,-20.0,-12.0,-32.0,-42.0,-34.0,13.0,0.0250000003863002,2.510026220408989e-05,0.0250000003869383,2.427931964926868e-05,0.0250000039323835,8.764250454173611e-05,0.0250000031228879,6.89206518649192e-05,0.0250000110003226,0.0001061744278711,0.0250000069636838,7.075694281338417e-05,973764,78982,1318,80579,1130,0.081110002012808,0.0013535107069063,0.0827500297813433,0.0011604454467406
