date,California-apple-driving,California-apple-walking,California-google-retail_and_recreation,California-google-grocery_and_pharmacy,California-google-parks,California-google-transit_stations,California-google-workplaces,California-google-residential,California-jh_beta_7,California-jh_gamma_7,California-cdc_beta_7,California-cdc_gamma_7,California-jh_beta_14,California-jh_gamma_14,California-cdc_beta_14,California-cdc_gamma_14,California-jh_beta_30,California-jh_gamma_30,California-cdc_beta_30,California-cdc_gamma_30,California-census_pop,California-jh_confirmed,California-jh_death,California-cdc_confirmed,California-cdc_death,California-jh_confirmed_ratio,California-jh_death_ratio,California-cdc_confirmed_ratio,California-cdc_death_ratio
04-02-2021,142.68,142.76,-18.0,-3.0,-3.0,-39.0,-42.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000024954762,5.985173452302845e-05,0.0250000023487515,5.6742724772684e-05,0.0250000036218735,4.391497929498703e-05,0.0250000039873962,4.72459988531623e-05,39512223,3739330,58458,3573074,58269,0.0946372974256599,0.0014794915487291,0.0904295868141865,0.0014747082187706
04-03-2021,133.28,146.07,-19.0,2.0,-5.0,-33.0,-19.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000026225994,6.300846192091301e-05,0.0250000022103588,5.3995915222650095e-05,0.025000003409214,4.181510419673759e-05,0.025000003837296,4.5821924265941886e-05,39512223,3741139,58542,3577951,58404,0.0946830807266905,0.001481617473155,0.0905530169740133,0.0014781248830267
04-04-2021,97.76,98.09,-33.0,-7.0,6.0,-33.0,-22.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000027596833,6.648092788796319e-05,0.0250000023681612,5.776416152186448e-05,0.0250000031732462,3.94968401253168e-05,0.0250000035869513,4.337844728753669e-05,39512223,3742770,58588,3580351,58513,0.0947243590926281,0.0014827816698645,0.0906137576718981,0.0014808835230556
04-05-2021,115.56,112.26,-17.0,-10.0,-6.0,-40.0,-41.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000022678012,5.613135717351393e-05,0.0250000025117608,6.123184787681502e-05,0.0250000029868525,3.77110082084374e-05,0.0250000033535513,4.1113653851104456e-05,39512223,3746072,58620,3582463,58534,0.0948079281694679,0.0014835915458363,0.0906672094860367,0.0014814150041621
04-06-2021,116.79,115.36,-19.0,-8.0,2.0,-40.0,-40.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000023128017,5.775566176433529e-05,0.0250000019996024,5.041305114129085e-05,0.025000002818031,3.613087568361671e-05,0.0250000032104479,3.979555823367006e-05,39512223,3748519,58709,3583830,58541,0.0948698583726863,0.0014858440133828,0.0907018063752069,0.0014815921645309
04-07-2021,120.15,117.48,-18.0,-8.0,-2.0,-41.0,-41.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000020511164,5.247571144448457e-05,0.0250000020588251,5.230461374393174e-05,0.025000002842783,3.6528597248005006e-05,0.0250000030660518,3.849555384695509e-05,39512223,3750967,58816,3586059,58659,0.0949318138845288,0.0014885520361635,0.0907582192983675,0.0014845785821769
04-08-2021,124.3,121.85,-18.0,-9.0,-2.0,-39.0,-40.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000017887852,4.701716405749218e-05,0.0250000017950784,4.689412386856031e-05,0.0250000029051258,3.730592390368179e-05,0.0250000030769481,3.87569505851355e-05,39512223,3753759,58971,3588152,58788,0.0950024755630681,0.0014924748729019,0.0908111902486478,0.0014878433946882
04-09-2021,143.54,141.79,-20.0,-10.0,-5.0,-38.0,-38.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000015327855,4.144963433114232e-05,0.0250000015619441,4.196299349902873e-05,0.025000002744639,3.579064813302045e-05,0.0250000031457627,3.958831567329024e-05,39512223,3758916,59147,3590758,58943,0.0951329921376481,0.0014969291907468,0.0908771445231011,0.0014917662314266
04-10-2021,139.66,155.02,-20.0,-8.0,2.0,-31.0,-17.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000013187673,3.65834139967546e-05,0.0250000013398465,3.706808281482301e-05,0.0250000026185329,3.46009533386052e-05,0.0250000028108364,3.631308992406797e-05,39512223,3764224,59250,3595224,59113,0.09526733031447,0.001499535979031,0.0909901728384151,0.0014960686975268
04-11-2021,111.76,115.23,-17.0,-10.0,8.0,-29.0,-16.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000011541991,3.283317667837201e-05,0.0250000011867863,3.3520111781859984e-05,0.0250000024715794,3.319948439433726e-05,0.0250000026608163,3.4876808337118727e-05,39512223,3767295,59298,3600178,59218,0.0953450530991384,0.0015007507929887,0.0911155517622989,0.0014987261030592
04-12-2021,110.65,106.97,-20.0,-11.0,-7.0,-40.0,-38.0,10.0,0.025,1e-05,0.025,1e-05,0.025000001194905,3.3796242861078754e-05,0.0250000010623955,3.0643796789328755e-05,0.0250000023787621,3.2369631312428266e-05,0.0250000024894458,3.3223763285052497e-05,39512223,3769111,59315,3602827,59249,0.0953910135605379,0.0015011810395988,0.0911825943075893,0.0014995106704069
04-13-2021,111.17,106.17,-21.0,-10.0,-10.0,-42.0,-39.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000012988208,3.6349897983715646e-05,0.0250000011751789,3.320916612330174e-05,0.0250000023300914,3.200995836312744e-05,0.0250000023806392,3.222821676922415e-05,39512223,3771794,59410,3604395,59258,0.0954589165990483,0.00150358535889,0.0912222782302074,0.001499738448024
04-14-2021,114.24,109.62,-20.0,-11.0,-8.0,-42.0,-39.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000012133197,3.463927534015945e-05,0.0250000012929539,3.6083393858836665e-05,0.0250000023417773,3.2262135818666423e-05,0.0250000023390604,3.194065508702535e-05,39512223,3774132,59539,3606882,59372,0.0955180881622378,0.0015068501714013,0.0912852207783905,0.0015026236311735
04-15-2021,119.79,115.71,-19.0,-10.0,-7.0,-40.0,-39.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000011190301,3.258953702568728e-05,0.025000001194646,3.4079875222308375e-05,0.0250000024004498,3.297416361454139e-05,0.0250000023438688,3.2110083798451206e-05,39512223,3776825,59627,3608898,59508,0.0955862442869893,0.0015090773303238,0.0913362429646137,0.0015060656040537
04-16-2021,139.99,137.71,-20.0,-10.0,-7.0,-38.0,-37.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009648802,2.9201519203216025e-05,0.0250000011012813,3.2036094768604534e-05,0.0250000022995,3.2051714262507886e-05,0.0250000024064701,3.2842394426307264e-05,39512223,3779913,59731,3611349,59587,0.0956643973182678,0.0015117094272321,0.0913982744023286,0.001508064985359
