date,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Pennsylvania-google-retail_and_recreation,Pennsylvania-google-grocery_and_pharmacy,Pennsylvania-google-parks,Pennsylvania-google-transit_stations,Pennsylvania-google-workplaces,Pennsylvania-google-residential,Pennsylvania-jh_beta_7,Pennsylvania-jh_gamma_7,Pennsylvania-cdc_beta_7,Pennsylvania-cdc_gamma_7,Pennsylvania-jh_beta_14,Pennsylvania-jh_gamma_14,Pennsylvania-cdc_beta_14,Pennsylvania-cdc_gamma_14,Pennsylvania-jh_beta_30,Pennsylvania-jh_gamma_30,Pennsylvania-cdc_beta_30,Pennsylvania-cdc_gamma_30,Pennsylvania-census_pop,Pennsylvania-jh_confirmed,Pennsylvania-jh_death,Pennsylvania-cdc_confirmed,Pennsylvania-cdc_death,Pennsylvania-jh_confirmed_ratio,Pennsylvania-jh_death_ratio,Pennsylvania-cdc_confirmed_ratio,Pennsylvania-cdc_death_ratio
04-15-2021,131.69,116.17,-10.0,-2.0,27.0,-30.0,-29.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000008793776,2.6917757389943022e-05,0.0250000008522368,2.6389214402395974e-05,0.025000001553274,2.4087615772646152e-05,0.0250000015351808,2.391411425052408e-05,12801989,1098745,25569,1099655,25566,0.0858261165511078,0.0019972677683131,0.0858971992555219,0.0019970334297272
04-16-2021,156.18,146.29,-14.0,-6.0,15.0,-31.0,-29.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000008915372,2.6980001922471177e-05,0.0250000008994065,2.7205039615602117e-05,0.0250000013154317,2.168489344990369e-05,0.0250000014085659,2.262547300533613e-05,12801989,1104341,25634,1105219,25622,0.0862632361268237,0.0020023451043427,0.086331819219654,0.0020014077499988
04-17-2021,160.28,176.66,-9.0,-2.0,86.0,-16.0,-11.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000009808967,2.858966090885368e-05,0.025000000961486,2.8262982764459013e-05,0.0250000013004649,2.145880307592187e-05,0.0250000013960803,2.244467799046146e-05,12801989,1108718,25666,1110315,25661,0.0866051361237695,0.0020048447159265,0.0867298823643732,0.0020044541516165
04-18-2021,123.27,119.13,-2.0,-1.0,129.0,-15.0,-12.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000010266053,2.937327752335529e-05,0.0250000009691569,2.819645722883877e-05,0.0250000013479975,2.186532669386934e-05,0.0250000014599776,2.302280364600621e-05,12801989,1111426,25688,1113253,25688,0.086816665754048,0.0020065631988904,0.0869593779529102,0.0020065631988904
04-19-2021,125.7,108.45,-9.0,-2.0,47.0,-31.0,-30.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000011657082,3.2358463208544144e-05,0.0250000011168274,3.1317798610955e-05,0.0250000013370274,2.1717796963584416e-05,0.0250000014528418,2.291344670874457e-05,12801989,1114618,25697,1115395,25690,0.0870660020095314,0.0020072662146483,0.0871266957033004,0.0020067194246144
04-20-2021,132.04,118.23,-4.0,2.0,80.0,-28.0,-29.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000012838666,3.509223702407469e-05,0.0250000012406084,3.417787950432743e-05,0.0250000013490112,2.1836696930443605e-05,0.0250000014390129,2.2784268996993243e-05,12801989,1119655,25771,1120493,25767,0.087459456495393,0.0020130465664358,0.0875249150737436,0.0020127341149879
04-21-2021,125.08,103.33,-11.0,-1.0,2.0,-33.0,-31.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000012973721,3.527511494524791e-05,0.0250000012589095,3.445115993185839e-05,0.0250000014290926,2.2580974572456777e-05,0.0250000015168622,2.3508363247833786e-05,12801989,1124194,25837,1124952,25827,0.0878140107759817,0.0020182020153274,0.0878732203253728,0.0020174208867075
04-22-2021,133.62,110.98,-10.0,-1.0,15.0,-30.0,-29.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000012752938,3.452797340781228e-05,0.0250000012452529,3.391618932249034e-05,0.0250000016553633,2.475269051811512e-05,0.0250000016534639,2.479059803781834e-05,12801989,1128284,25887,1129410,25879,0.0881334923815354,0.0020221076584271,0.0882214474641401,0.0020214827555311
04-23-2021,163.23,157.25,-11.0,-2.0,60.0,-27.0,-28.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000012963902,3.472726474305467e-05,0.0250000012683071,3.416843488932108e-05,0.0250000016393169,2.4517515915784766e-05,0.0250000016504876,2.4684748366976796e-05,12801989,1132319,25946,1133435,25938,0.0884486777796794,0.0020267163172847,0.0885358517336642,0.0020260914143888
04-24-2021,164.49,181.61,-7.0,-1.0,129.0,-14.0,-11.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000013218511,3.4993388784677055e-05,0.0250000013384128,3.541705906977323e-05,0.0250000016535326,2.4574597948687498e-05,0.0250000016184763,2.42817243020777e-05,12801989,1136008,25982,1137444,25983,0.0887368361275736,0.0020295283803165,0.0888490061973963,0.0020296064931785
