date,Texas-apple-driving,Texas-apple-walking,Texas-google-retail_and_recreation,Texas-google-grocery_and_pharmacy,Texas-google-parks,Texas-google-transit_stations,Texas-google-workplaces,Texas-google-residential,Texas-jh_beta_7,Texas-jh_gamma_7,Texas-cdc_beta_7,Texas-cdc_gamma_7,Texas-jh_beta_14,Texas-jh_gamma_14,Texas-cdc_beta_14,Texas-cdc_gamma_14,Texas-jh_beta_30,Texas-jh_gamma_30,Texas-cdc_beta_30,Texas-cdc_gamma_30,Texas-census_pop,Texas-jh_confirmed,Texas-jh_death,Texas-cdc_confirmed,Texas-cdc_death,Texas-jh_confirmed_ratio,Texas-jh_death_ratio,Texas-cdc_confirmed_ratio,Texas-cdc_death_ratio
01-21-2021,103.9,119.25,-23.0,-15.0,-31.0,-33.0,-32.0,12.0,0.0250000006915147,3.648994432343149e-05,0.0250000007361577,3.781269895461289e-05,0.0250000309556258,0.0001460387344946,0.0250000395887035,0.0001609025775626,0.0250000113053687,0.0001048622801105,0.0250000150531155,0.0001373181062775,28995881,2208871,33942,2188643,38230,0.0761787855316415,0.0011705800558362,0.075481169204688,0.0013184631292975
01-22-2021,122.52,146.54,-22.0,-12.0,-29.0,-32.0,-29.0,11.0,0.0250000006800892,3.548682871867372e-05,0.025000000732305,3.756995192659958e-05,0.0250000279839005,0.0001415551226023,0.0250000362167397,0.0001585932666089,0.0250000114334015,0.0001060119034588,0.0250000150540855,0.0001376051932682,28995881,2227789,34381,2211289,38525,0.07683122302785,0.0011857201372843,0.0762621766864059,0.0013286369881294
01-23-2021,120.2,153.99,-23.0,-13.0,-35.0,-31.0,-14.0,7.0,0.0250000006921403,3.540333754439127e-05,0.0250000007392494,3.7881786842881024e-05,0.0250000229494388,0.0001265733981558,0.025000033000896,0.0001562744042926,0.0250000114026608,0.000105610385154,0.025000015013381,0.0001375852971564,28995881,2242473,34725,2228961,38815,0.0773376397840783,0.001197583891312,0.0768716425619211,0.001338638408676
01-24-2021,85.79,100.17,-25.0,-17.0,-48.0,-33.0,-17.0,7.0,0.0250000007187724,3.62259895861576e-05,0.0250000007472477,3.831126563804441e-05,0.0250000235907937,0.0001327633388114,0.025000029387676,0.0001521581585036,0.0250000114223196,0.0001055191983963,0.0250000150415991,0.000138150344781,28995881,2250421,34911,2240526,39144,0.077611747682369,0.0012039985955246,0.0772704923157878,0.0013499848478478
01-25-2021,99.35,117.7,-22.0,-16.0,-23.0,-32.0,-31.0,11.0,0.0250000007890746,3.95091823887278e-05,0.0250000007456054,3.828514689346332e-05,0.0250000238441171,0.0001390575380109,0.025000027699505,0.0001518990075948,0.0250000116954206,0.0001079172822081,0.0250000152351353,0.0001400728787668,28995881,2269424,35090,2246845,39460,0.0782671166294274,0.0012101718861378,0.0774884198207324,0.0013608829474779
01-26-2021,103.56,119.77,-19.0,-13.0,-17.0,-31.0,-32.0,11.0,0.0250000008608997,4.320427092494918e-05,0.0250000007518663,3.858442760885522e-05,0.0250000233105664,0.000146661099927,0.0250000258636991,0.0001504842482745,0.0250000122770578,0.000113447224613,0.0250000154244273,0.0001419463154362,28995881,2290621,35420,2273119,39787,0.0789981514960694,0.0012215528129667,0.0783945485222539,0.0013721604113356
01-27-2021,103.89,119.47,-18.0,-12.0,-19.0,-30.0,-30.0,11.0,0.0250000008480316,4.30382637358861e-05,0.025000000747603,3.839324797086579e-05,0.0250000206109087,0.0001449000804022,0.0250000226723614,0.0001468491436692,0.0250000125864105,0.0001167640532736,0.025000015492306,0.0001427687712666,28995881,2309220,35877,2292732,40100,0.0796395874296766,0.0012373136722419,0.0790709549401171,0.0013829550479945
01-28-2021,107.39,122.54,-20.0,-14.0,-16.0,-30.0,-31.0,11.0,0.0250000008018166,4.091640493141642e-05,0.0250000007472998,3.8365026010079245e-05,0.0250000178804426,0.0001407380694838,0.0250000195252896,0.0001420109298201,0.0250000130546381,0.0001212062456388,0.0250000155418111,0.0001435605814457,28995881,2330272,36292,2310952,40379,0.0803656215860452,0.0012516260499206,0.0796993200516997,0.0013925771043135
01-29-2021,128.7,150.91,-19.0,-13.0,-22.0,-29.0,-29.0,10.0,0.0250000007709948,3.920386749991381e-05,0.02500000073085,3.771938674949681e-05,0.0250000153005494,0.0001356143124529,0.025000016878849,0.0001381018479055,0.0250000130528218,0.0001213680431953,0.0250000152842058,0.0001417630304764,28995881,2348188,36650,2330028,40654,0.0809835024498824,0.0012639726311471,0.0803572065977233,0.0014020612100042
01-30-2021,127.07,166.57,-19.0,-11.0,-19.0,-27.0,-13.0,6.0,0.0250000007450781,3.774201160571728e-05,0.0250000007359676,3.804955828525096e-05,0.0250000058536173,0.0001212868474199,0.0250000143147263,0.0001354878522297,0.0250000129278744,0.0001203007898512,0.0250000151063292,0.0001405448233709,28995881,2363266,36924,2349142,40928,0.0815035073429912,0.0012734222491808,0.081016403674715,0.0014115108280379
