date,Oregon-apple-driving,Oregon-apple-walking,Oregon-google-retail_and_recreation,Oregon-google-grocery_and_pharmacy,Oregon-google-parks,Oregon-google-transit_stations,Oregon-google-workplaces,Oregon-google-residential,Oregon-jh_beta_7,Oregon-jh_gamma_7,Oregon-cdc_beta_7,Oregon-cdc_gamma_7,Oregon-jh_beta_14,Oregon-jh_gamma_14,Oregon-cdc_beta_14,Oregon-cdc_gamma_14,Oregon-jh_beta_30,Oregon-jh_gamma_30,Oregon-cdc_beta_30,Oregon-cdc_gamma_30,Oregon-census_pop,Oregon-jh_confirmed,Oregon-jh_death,Oregon-cdc_confirmed,Oregon-cdc_death,Oregon-jh_confirmed_ratio,Oregon-jh_death_ratio,Oregon-cdc_confirmed_ratio,Oregon-cdc_death_ratio
02-03-2021,101.84,102.99,-23.0,-8.0,19.0,-39.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000007169613,2.3309808240605587e-05,0.0250000007169613,2.3309808240605587e-05,0.0250000247668688,0.0001109832698584,0.0250000247644087,0.00011098708428,4217737,144605,1991,144605,1991,0.0342849731977124,0.0004720540896694,0.0342849731977124,0.0004720540896694
02-04-2021,104.87,100.77,-26.0,-8.0,-1.0,-40.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000006422931,2.1797219474182827e-05,0.0250000006422931,2.1797219474182827e-05,0.0250000232299862,0.0001125180900274,0.0250000232275852,0.000112521301095,4217737,145320,1998,145320,1991,0.0344544953846102,0.0004737137474432,0.0344544953846102,0.0004720540896694
02-05-2021,119.79,124.79,-28.0,-10.0,-3.0,-41.0,-35.0,12.0,0.025,1e-05,0.025,1e-05,0.025000000639877,2.177424984005643e-05,0.0250000006314597,2.165549312691024e-05,0.0250000097154184,9.133581932400566e-05,0.0250000096941669,9.1204754476081e-05,4217737,146137,2002,146137,2002,0.0346482011562124,0.0004746621233139,0.0346482011562124,0.0004746621233139
02-06-2021,112.64,117.04,-28.0,-7.0,9.0,-33.0,-14.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000005642982,2.029874112363876e-05,0.0250000005571099,2.018916145709149e-05,0.0250000098370496,9.281701646095723e-05,0.0250000098173739,9.269085539927306e-05,4217737,146741,2020,146741,2019,0.0347914059126967,0.0004789298147324,0.0347914059126967,0.0004786927207647
02-07-2021,85.4,88.74,-29.0,-10.0,-2.0,-35.0,-16.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000005581515,2.0161492874768416e-05,0.0250000005508738,2.004388816377252e-05,0.0250000099296626,9.393801450625666e-05,0.0250000099083921,9.379726298516312e-05,4217737,147122,2023,147122,2023,0.0348817387143864,0.0004796410966354,0.0348817387143864,0.0004796410966354
02-08-2021,97.81,95.57,-26.0,-13.0,9.0,-40.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000005963735,2.0988816900111703e-05,0.025000000590303,2.088171769772017e-05,0.0250000101439125,9.620764728486227e-05,0.0250000101241559,9.607133049947628e-05,4217737,147419,2024,147419,2024,0.0349521556227901,0.0004798781906031,0.0349521556227901,0.0004798781906031
02-09-2021,101.76,101.33,-24.0,-6.0,22.0,-38.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000006301171,2.177778017315732e-05,0.0250000006251375,2.1681118796216087e-05,0.0250000096927983,9.245238587887528e-05,0.0250000096745213,9.232067117809177e-05,4217737,147932,2031,147932,2031,0.0350737848282147,0.0004815378483769,0.0350737848282147,0.0004815378483769
02-10-2021,108.72,107.36,-19.0,1.0,27.0,-37.0,-36.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000005426415,2.007655562436273e-05,0.025,1e-05,0.0250000100046113,9.564651949935742e-05,0.0250000099577242,9.524496154482988e-05,4217737,148475,2044,148475,2044,0.03520252685267,0.0004846200699569,0.03520252685267,0.0004846200699569
02-11-2021,94.64,92.4,-31.0,-2.0,-31.0,-43.0,-39.0,14.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000100696111,9.649935310632653e-05,0.0250000100542506,9.63783984758376e-05,4217737,149082,2056,149082,2056,0.0353464428910574,0.0004874651975692,0.0353464428910574,0.0004874651975692
02-12-2021,74.66,95.56,-50.0,-25.0,-35.0,-53.0,-54.0,22.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000087826675,8.491113023826344e-05,0.0250000087686466,8.479561794293955e-05,4217737,149576,2094,149576,2094,0.0354635673110959,0.0004964747683414,0.0354635673110959,0.0004964747683414
