date,Florida-apple-driving,Florida-apple-walking,Florida-google-retail_and_recreation,Florida-google-grocery_and_pharmacy,Florida-google-parks,Florida-google-transit_stations,Florida-google-workplaces,Florida-google-residential,Florida-jh_beta_7,Florida-jh_gamma_7,Florida-cdc_beta_7,Florida-cdc_gamma_7,Florida-jh_beta_14,Florida-jh_gamma_14,Florida-cdc_beta_14,Florida-cdc_gamma_14,Florida-jh_beta_30,Florida-jh_gamma_30,Florida-cdc_beta_30,Florida-cdc_gamma_30,Florida-census_pop,Florida-jh_confirmed,Florida-jh_death,Florida-cdc_confirmed,Florida-cdc_death,Florida-jh_confirmed_ratio,Florida-jh_death_ratio,Florida-cdc_confirmed_ratio,Florida-cdc_death_ratio
03-15-2021,132.18,159.37,-9.0,-4.0,-4.0,-24.0,-32.0,7.0,0.0250000002683126,2.0528751306111542e-05,0.025,1e-05,0.025000002772741,6.58412693063502e-05,0.0250000017010392,4.38179939715628e-05,0.0250000050244612,5.632081183671173e-05,0.0250000033131828,4.066421727197141e-05,21477737,1979634,32348,1943271,33566,0.0921714424569031,0.0015061177069073,0.0904783869920746,0.0015628275921248
03-16-2021,133.13,160.4,-7.0,-2.0,-3.0,-22.0,-32.0,7.0,0.025000000264215,2.0427121775966108e-05,0.025,1e-05,0.025000002577902,6.186505467931678e-05,0.0250000016447863,4.266775468682878e-05,0.0250000049519044,5.582202353503325e-05,0.0250000031858215,3.9493369115117936e-05,21477737,1984425,32449,1947929,33624,0.0923945106507263,0.0015108202507554,0.0906952627271672,0.0015655280628494
03-17-2021,140.15,175.96,-2.0,-2.0,1.0,-23.0,-30.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000024293322,5.875254898285519e-05,0.0250000016277826,4.239026895016717e-05,0.025000004930633,5.580345829909696e-05,0.0250000030866876,3.859510695319832e-05,21477737,1989024,32504,1953779,33685,0.0926086393552542,0.0015133810419598,0.0909676377916351,0.0015683682130943
03-18-2021,143.45,172.88,-7.0,-5.0,-7.0,-21.0,-32.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000022726989,5.551378598025991e-05,0.0250000015377288,4.050278549894214e-05,0.0250000047899598,5.457803457723362e-05,0.0250000029822257,3.765167168968492e-05,21477737,1994117,32598,1958840,33741,0.0928457686207816,0.0015177576669273,0.0912032771422799,0.0015709755641388
03-19-2021,163.99,204.88,-8.0,-5.0,-5.0,-21.0,-31.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000021593476,5.310445191609167e-05,0.0250000015324836,4.048910156295815e-05,0.0250000045122697,5.196773651017702e-05,0.0250000028459476,3.6388170501173535e-05,21477737,1999257,32651,1963723,33800,0.0930850861987927,0.0015202253384516,0.0914306288413905,0.0015737225947035
03-20-2021,155.23,208.23,-9.0,-6.0,-13.0,-19.0,-16.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000019834159,4.939023969373308e-05,0.0250000014564033,3.890700701956345e-05,0.0250000043480419,5.0510263316752126e-05,0.0250000027472707,3.5488353961255654e-05,21477737,2004362,32713,1967669,33851,0.093322774182401,0.0015231120485365,0.0916143539703461,0.0015760971465476
03-21-2021,119.68,150.01,-7.0,-6.0,-20.0,-19.0,-17.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000019078551,4.790862114959776e-05,0.0250000013612149,3.6926839802319e-05,0.0250000041744372,4.8940760898255626e-05,0.0250000026419319,3.452790792536183e-05,21477737,2008349,32742,1970616,33900,0.0935084082647999,0.0015244622838989,0.0917515658190618,0.0015783785787115
03-22-2021,127.46,148.52,-9.0,-5.0,-15.0,-22.0,-28.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000019094251,4.827419359987092e-05,0.0250000013588904,3.701428878825736e-05,0.0250000038782629,4.615884321147593e-05,0.0250000025365803,3.356904884515938e-05,21477737,2011211,32779,1975880,33956,0.0936416625271088,0.0015261849979818,0.0919966568172429,0.001580985929756
03-23-2021,128.61,148.32,-8.0,-4.0,-8.0,-22.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.025000001838466,4.709484999785446e-05,0.0250000013493254,3.6928992169203535e-05,0.0250000037612802,4.519348176295466e-05,0.0250000024563494,3.2849412567580193e-05,21477737,2016513,32820,1981021,33999,0.0938885227992129,0.0015280939514251,0.0922360209550941,0.0015829880028794
03-24-2021,132.5,150.86,-8.0,-4.0,-3.0,-23.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000016229108,4.273020939819318e-05,0.025000001298371,3.596450357871732e-05,0.0250000036978631,4.4757983167016446e-05,0.0250000023561748,3.192880978371997e-05,21477737,2021656,32850,1986811,34064,0.0941279800567443,0.0015294907466275,0.0925056024291572,0.0015860143924846
03-25-2021,137.05,160.19,-9.0,-4.0,-3.0,-22.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000015890242,4.2404762694151056e-05,0.0250000012649145,3.531108448189728e-05,0.0250000035013155,4.2977369134319146e-05,0.025000002246315,3.090338300435266e-05,21477737,2027429,32957,1992630,34111,0.0943967700135261,0.0015344726495161,0.0927765341385826,0.0015882027049684
03-26-2021,158.56,192.42,-11.0,-4.0,-4.0,-23.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000014885624,4.029492824223709e-05,0.0250000012109007,3.421647071027855e-05,0.0250000033303962,4.141506098302413e-05,0.0250000021547491,3.0067121621207268e-05,21477737,2033179,33116,1998281,34172,0.094664489093986,0.0015418756640888,0.0930396437948746,0.0015910428552132
03-27-2021,155.69,205.38,-10.0,-4.0,1.0,-22.0,-15.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000014091118,3.819006485213994e-05,0.025000001166489,3.328131985293179e-05,0.0250000032141858,4.033761083724632e-05,0.0250000020921952,2.951196131108536e-05,21477737,2039062,33142,2003105,34218,0.0949384006331765,0.0015430862199308,0.0932642484634205,0.0015931846078569
03-28-2021,121.46,154.05,-7.0,-3.0,1.0,-20.0,-16.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000013761995,3.733583561665285e-05,0.0250000011460361,3.289233170682191e-05,0.0250000030688805,3.897955814163765e-05,0.0250000020264154,2.8922593569321876e-05,21477737,2044005,33178,2006670,34267,0.0951685459226919,0.0015447623741737,0.0934302342933056,0.0015954660400208
03-29-2021,129.14,153.19,-9.0,-4.0,-9.0,-23.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000014759456,3.954209271670615e-05,0.0250000011256069,3.2501077643348205e-05,0.0250000029037926,3.742395650122629e-05,0.0250000019599663,2.8322445470653e-05,21477737,2047379,33247,2011761,34316,0.0953256388231218,0.0015479750031392,0.0936672704391528,0.0015977474721848
03-30-2021,132.67,154.02,-8.0,-2.0,-7.0,-23.0,-27.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000013879652,3.755177397861803e-05,0.0250000010551924,3.100486087843248e-05,0.0250000028086776,3.6558479074173145e-05,0.0250000018990036,2.7772894545958864e-05,21477737,2052441,33338,2016710,34357,0.0955613247336067,0.0015522119485865,0.0938976950877087,0.001599656425628
03-31-2021,136.63,157.48,-6.0,-3.0,-4.0,-23.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000012928662,3.5281950643893286e-05,0.0250000010289667,3.0511023450922085e-05,0.0250000027031697,3.55592914576196e-05,0.0250000018402332,2.7238481503405485e-05,21477737,2057735,33425,2023669,34423,0.0958078125269901,0.0015562626546735,0.0942217050148253,0.0016027293750733
04-01-2021,143.27,167.25,-6.0,-1.0,-10.0,-21.0,-27.0,6.0,0.0250000002560722,2.019815585480273e-05,0.025,1e-05,0.0250000013501249,3.632120883246685e-05,0.0250000010033189,2.9948838425473395e-05,0.0250000025550479,3.4090555703056136e-05,0.0250000017638257,2.652572961005398e-05,21477737,2064525,33494,2029984,34491,0.0961239538411332,0.001559475283639,0.0945157304049304,0.0016058954441988
04-02-2021,159.49,193.26,-7.0,1.0,-9.0,-23.0,-35.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000012872339,3.4753944005890585e-05,0.0250000010021387,2.9856338598363432e-05,0.0250000024166421,3.273097188207264e-05,0.0250000017246744,2.616840218631793e-05,21477737,2071015,33586,2035806,34555,0.0964261272032523,0.0015637587889264,0.0947868017938761,0.0016088752739639
04-03-2021,147.32,191.87,-8.0,6.0,-13.0,-23.0,-16.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000013629331,3.621551840995081e-05,0.0250000009976156,2.965888772052713e-05,0.0250000022932063,3.149669645383686e-05,0.0250000016393124,2.5336915427866427e-05,21477737,2077032,33652,2040588,34604,0.0967062777610136,0.0015668317383716,0.0950094509491386,0.0016111567061278
04-04-2021,103.75,132.01,-26.0,-21.0,-6.0,-25.0,-26.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000014057476,3.705352829648365e-05,0.0250000010129285,2.994313318196768e-05,0.025000002191622,3.0481612790419748e-05,0.0250000016120936,2.509316720694668e-05,21477737,2081826,33674,2044107,34634,0.0969294856343571,0.0015678560548534,0.0951732950263801,0.0016125535013302
04-05-2021,134.52,156.78,-6.0,0.0,-5.0,-20.0,-27.0,6.0,0.025,1e-05,0.025,1e-05,0.025000001517695,3.969618241725071e-05,0.0250000010188753,3.0134589384990252e-05,0.0250000020537321,2.9121800435831065e-05,0.0250000015383844,2.4386607897422653e-05,21477737,2085306,33710,2049542,34683,0.0970915138778354,0.0015695322090963,0.0954263477572148,0.0016148349334941
04-06-2021,135.72,158.82,-6.0,0.0,-2.0,-21.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000015855348,4.150037348801284e-05,0.0250000010021059,2.983259775962413e-05,0.0250000019813153,2.843584151004925e-05,0.0250000014573018,2.3601847531940387e-05,21477737,2090862,33780,2055312,34722,0.0973502003493198,0.0015727913979019,0.0956949980344763,0.0016166507672572
04-07-2021,138.66,161.01,-4.0,-1.0,2.0,-21.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000016465433,4.309594140970915e-05,0.0250000010173906,3.02813701066227e-05,0.0250000019758186,2.84192687951489e-05,0.0250000014388072,2.345384903135437e-05,21477737,2096747,33822,2063028,34772,0.0976242050081905,0.0015747469111852,0.0960542537605335,0.0016189787592612
04-08-2021,143.49,169.12,-6.0,-2.0,1.0,-18.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000017286773,4.520424086232776e-05,0.0250000009660542,2.923896049173429e-05,0.0250000019341679,2.80414576193538e-05,0.0250000014147766,2.324896918392564e-05,21477737,2104686,33906,2070008,34829,0.0979938435785855,0.001578657937752,0.0963792414442918,0.0016216326701458
04-09-2021,163.15,196.52,-9.0,-4.0,-4.0,-21.0,-25.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000015875551,4.218928313052858e-05,0.0250000009744083,2.9469704966267726e-05,0.0250000018140863,2.685129229023085e-05,0.0250000013707501,2.283450176853609e-05,21477737,2111807,33968,2076752,34872,0.0983253961997951,0.0015815446478369,0.0966932410057912,0.0016236347432692
04-10-2021,156.43,202.81,-10.0,-6.0,-6.0,-22.0,-16.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000012837631,3.552352888784882e-05,0.0250000009354167,2.8675013849218863e-05,0.0250000018143474,2.688384591812074e-05,0.0250000013324409,2.247981178577405e-05,21477737,2118713,34014,2082252,34920,0.0986469384553875,0.0015836864004806,0.0969493201262311,0.0016258696155931
04-11-2021,108.87,128.41,-18.0,-14.0,-43.0,-26.0,-20.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000013840588,3.787203761161925e-05,0.0250000009417569,2.8875960897172825e-05,0.0250000017506202,2.6273286395302592e-05,0.0250000012843986,2.202423949259556e-05,21477737,2124233,34021,2083889,34973,0.098903948772629,0.0015840123193612,0.0970255385844421,0.0016283372871173
04-12-2021,127.55,144.29,-8.0,-2.0,-14.0,-20.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000014204394,3.90012826237927e-05,0.0250000009415121,2.890024879514481e-05,0.0250000016529005,2.5345872861599577e-05,0.0250000012406615,2.160748673501552e-05,21477737,2125846,34056,2092914,35033,0.098979049794678,0.001585641913764,0.0974457411411639,0.0016311308775221
04-13-2021,127.35,143.22,-9.0,-2.0,-8.0,-21.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000013430897,3.760119990796314e-05,0.0250000009480199,2.902048638000709e-05,0.0250000015967294,2.484970666411433e-05,0.025000001219174,2.140520067879714e-05,21477737,2134914,34120,2099582,35077,0.0994012544245234,0.0015886217435291,0.0977562021548173,0.0016331795104856
04-14-2021,128.52,143.59,-9.0,-4.0,-7.0,-22.0,-26.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000012069905,3.4748365098507e-05,0.0250000009751698,2.9619813027890545e-05,0.0250000016350898,2.53022930763312e-05,0.0250000011993857,2.1220414688837417e-05,21477737,2141686,34164,2106283,35138,0.099716557661545,0.0015906703764926,0.0980681996431933,0.0016360196607305
