date,Maryland-apple-driving,Maryland-apple-walking,Maryland-google-retail_and_recreation,Maryland-google-grocery_and_pharmacy,Maryland-google-parks,Maryland-google-transit_stations,Maryland-google-workplaces,Maryland-google-residential,Maryland-jh_beta_7,Maryland-jh_gamma_7,Maryland-cdc_beta_7,Maryland-cdc_gamma_7,Maryland-jh_beta_14,Maryland-jh_gamma_14,Maryland-cdc_beta_14,Maryland-cdc_gamma_14,Maryland-jh_beta_30,Maryland-jh_gamma_30,Maryland-cdc_beta_30,Maryland-cdc_gamma_30,Maryland-census_pop,Maryland-jh_confirmed,Maryland-jh_death,Maryland-cdc_confirmed,Maryland-cdc_death,Maryland-jh_confirmed_ratio,Maryland-jh_death_ratio,Maryland-cdc_confirmed_ratio,Maryland-cdc_death_ratio
04-03-2021,144.58,185.1,-11.0,6.0,74.0,-22.0,-13.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000007653057,2.487718593343285e-05,0.0250000008542416,2.629215529137622e-05,0.0250000018409779,2.608243429444033e-05,0.0250000022746073,3.006265788284017e-05,6045680,415660,8342,417329,8875,0.0687532254436225,0.0013798282409919,0.0690292903362401,0.001467990366675
04-04-2021,104.06,128.08,-29.0,-14.0,107.0,-27.0,-22.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000006796766,2.287671336037027e-05,0.0250000008336866,2.5777731896059252e-05,0.0250000019446737,2.7087281230582536e-05,0.025000002333357,3.0650485752186426e-05,6045680,417329,8350,418188,8890,0.0690292903362401,0.0013811514999139,0.0691713752629977,0.0014704714771539
04-05-2021,128.01,151.85,-9.0,-5.0,65.0,-36.0,-43.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000006962412,2.314235239918336e-05,0.0250000008290131,2.561233626140299e-05,0.0250000019924659,2.7572651382396734e-05,0.0250000023051675,3.039343196480637e-05,6045680,418188,8363,419055,8905,0.0691713752629977,0.0013833017956623,0.0693147834486774,0.0014729525876328
04-06-2021,126.73,150.57,-9.0,-3.0,85.0,-34.0,-38.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000006956035,2.306127463923988e-05,0.0250000008323966,2.563418818283565e-05,0.025000002010186,2.7768544679844497e-05,0.0250000022792028,3.015262400337612e-05,6045680,419055,8378,419055,8921,0.0693147834486774,0.0013857829061412,0.0693147834486774,0.0014755991054769
04-07-2021,128.62,155.17,-8.0,-2.0,73.0,-34.0,-39.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000007216515,2.354873144011397e-05,0.0250000008376193,2.570338721986417e-05,0.0250000020022153,2.770710698722316e-05,0.0250000022638581,3.001016924312176e-05,6045680,420526,8389,421823,8936,0.0695580976829736,0.001387602387159,0.0697726310357147,0.0014780802159558
04-08-2021,130.47,161.28,-10.0,-3.0,73.0,-34.0,-38.0,11.0,0.025,1e-05,0.025,1e-05,0.02500000067843,2.2607828526790648e-05,0.0250000008737646,2.6453789013244936e-05,0.0250000020487492,2.818197990867812e-05,0.0250000021729196,2.913151656829629e-05,6045680,421823,8410,421823,8955,0.0697726310357147,0.0013910759418295,0.0697726310357147,0.0014812229558957
04-09-2021,144.85,172.77,-18.0,-10.0,4.0,-38.0,-36.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000007776895,2.464371749949704e-05,0.0250000009335435,2.7686638170945524e-05,0.0250000019409004,2.713256212467859e-05,0.0250000021696223,2.9095410350874088e-05,6045680,423663,8424,425247,8973,0.0700769805877916,0.0013933916449431,0.0703389858543621,0.0014842002884704
04-10-2021,151.92,205.79,-12.0,-3.0,114.0,-22.0,-12.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000007782606,2.4604614542657268e-05,0.0250000009412106,2.780295828227622e-05,0.0250000019358635,2.7085374923703983e-05,0.0250000021307607,2.870730525119469e-05,6045680,425247,8444,426730,8993,0.0703389858543621,0.0013966997922483,0.0705842849770414,0.0014875084357756
04-11-2021,117.49,145.72,-9.0,-5.0,98.0,-24.0,-15.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000007957377,2.489014634792762e-05,0.025000001002775,2.9045303603558035e-05,0.0250000019554529,2.726072176756378e-05,0.0250000021622327,2.899216574109182e-05,6045680,426730,8455,427715,9016,0.0705842849770414,0.0013985192732662,0.0707472112318217,0.0014913128051765
04-12-2021,116.3,133.77,-16.0,-8.0,6.0,-39.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000008795914,2.6671765934015813e-05,0.0250000010330929,2.9572168102432887e-05,0.025000001932893,2.7039981660695287e-05,0.025000002237868,2.9673557747722843e-05,6045680,427715,8470,428799,9025,0.0707472112318217,0.001401000383745,0.0709265128157626,0.0014928014714639
04-13-2021,121.92,143.17,-11.0,-3.0,62.0,-35.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.025000000930523,2.7762672815652824e-05,0.0250000010979723,3.0957839895422026e-05,0.0250000019857412,2.755233227422129e-05,0.0250000022219409,2.9519803443681106e-05,6045680,428799,8484,430351,9040,0.0709265128157626,0.0014033160868587,0.0711832250466448,0.0014952825819428
04-14-2021,121.33,137.72,-14.0,-7.0,-7.0,-40.0,-39.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000009466962,2.81259035915592e-05,0.0250000010946833,3.090755554358675e-05,0.0250000020210665,2.789288991279725e-05,0.0250000022549305,2.982625740128773e-05,6045680,430351,8493,431795,9060,0.0711832250466448,0.001404804753146,0.0714220732820791,0.0014985907292479
04-15-2021,130.41,154.56,-11.0,-3.0,50.0,-36.0,-37.0,11.0,0.025,1e-05,0.025,1e-05,0.025000000953523,2.835212512986381e-05,0.0250000010726545,3.041516947084491e-05,0.0250000020812273,2.8487070939142662e-05,0.0250000022257434,2.9517593091360165e-05,6045680,431795,8512,434923,9071,0.0714220732820791,0.0014079474930859,0.0719394675206097,0.0015004102102658
04-16-2021,151.2,179.01,-15.0,-7.0,35.0,-36.0,-36.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009357211,2.798298821546415e-05,0.0250000010569047,3.012875054689647e-05,0.0250000019767667,2.7463580607930516e-05,0.0250000021611376,2.8885837954073668e-05,6045680,433359,8528,434859,9081,0.0716807704013444,0.0014105940109301,0.0719288814492331,0.0015020642839184
04-17-2021,152.92,200.39,-12.0,-3.0,117.0,-22.0,-12.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000009282011,2.7813361331686136e-05,0.0250000010456421,3.000228296789937e-05,0.0250000019284499,2.698383891260165e-05,0.0250000021548257,2.8842956928342392e-05,6045680,434859,8545,436028,9096,0.0719288814492331,0.0014134059361395,0.0721222426592211,0.0015045453943973
04-18-2021,121.0,146.33,-9.0,-3.0,123.0,-23.0,-14.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000008655416,2.644039488979581e-05,0.0250000010543136,3.029949233985408e-05,0.0250000019279778,2.6965210059798952e-05,0.0250000021664361,2.897688609637876e-05,6045680,436028,8562,436659,9114,0.0721222426592211,0.0014162178613489,0.0722266147066996,0.0015075227269719
04-19-2021,118.02,138.53,-15.0,-7.0,23.0,-38.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000009316628,2.78141712712336e-05,0.0250000010569514,3.0417686585228087e-05,0.0250000018829254,2.6507838772398717e-05,0.0250000021251423,2.858791900780638e-05,6045680,436659,8574,437584,9134,0.0722266147066996,0.001418202749732,0.0723796165195643,0.0015108308742771
04-20-2021,128.54,154.71,-8.0,0.0,99.0,-32.0,-36.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009493559,2.8198949488727053e-05,0.0250000010673022,3.0639361791991754e-05,0.025000001770686,2.540672456872852e-05,0.025000002098571,2.8329063249831506e-05,6045680,437584,8592,438789,9155,0.0723796165195643,0.0014211800823067,0.0725789323947016,0.0015143044289476
04-21-2021,122.22,141.95,-12.0,-4.0,22.0,-38.0,-39.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000009553173,2.8299440932660807e-05,0.0250000010765334,3.077470233960981e-05,0.0250000017927246,2.560518102313934e-05,0.025000002098254,2.8309332064463725e-05,6045680,438789,8605,439992,9176,0.0725789323947016,0.001423330378055,0.0727779174551084,0.001517777983618
04-22-2021,126.04,143.42,-15.0,-4.0,19.0,-37.0,-36.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000009914742,2.907823713972472e-05,0.0250000011049313,3.128124767369529e-05,0.025000001796792,2.5634542984008747e-05,0.0250000021112849,2.841085928902641e-05,6045680,439992,8625,439992,9187,0.0727779174551084,0.0014266385253602,0.0727779174551084,0.0015195974646359
04-23-2021,152.07,184.13,-15.0,-6.0,52.0,-33.0,-34.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009513046,2.8163083567122617e-05,0.0250000010850497,3.08257849215944e-05,0.0250000018331605,2.596795934379746e-05,0.0250000021148573,2.8448517239671534e-05,6045680,441155,8633,442351,9204,0.0729702862209048,0.0014279617842823,0.0731681134297548,0.0015224093898453
04-24-2021,150.49,198.39,-13.0,-4.0,116.0,-22.0,-13.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000009574729,2.833717990782456e-05,0.0250000010786554,3.065879517361457e-05,0.0250000017853115,2.5512321824178488e-05,0.0250000021658056,2.8932849205754727e-05,6045680,442351,8648,443257,9219,0.0731681134297548,0.0014304428947612,0.0733179725026796,0.0015248905003241
